champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Samira,Tahm Kench,360,223,2.17,2.87,0.3927,0.6073,0.481,0.468,17911,9570,0 days 00:16:10,0 days 00:17:21,0.4299,0.5701,0.4991,0.5429,0.2017,0.0098,0.6463,0.0023
Aphelios,Varus,523,110,1.81,2.87,0.4013,0.5987,0.401,0.495,16226,20294,0 days 00:17:03,0 days 00:17:17,0.4531,0.5469,0.4687,0.4991,0.0365,0.0774,0.0039,0.0151
Swain,Varus,50,110,2.62,2.27,0.4809,0.5191,0.493,0.473,19761,21789,0 days 00:17:32,0 days 00:18:24,0.5691,0.4309,0.5593,0.4991,0.012,0.0774,0.0096,0.0151
Draven,Kai'Sa,119,145,2.24,2.61,0.4856,0.5144,0.452,0.481,18097,16843,0 days 00:17:27,0 days 00:16:37,0.5024,0.4976,0.4987,0.5018,0.0193,0.3738,0.0035,0.0619
Sivir,Vayne,15,67,2.58,2.2,0.4785,0.5215,0.469,0.428,18755,17161,0 days 00:18:27,0 days 00:16:29,0.4865,0.5135,0.5184,0.5094,0.0371,0.1034,0.012,0.0528
Twitch,Kalista,29,429,2.62,2.02,0.5486,0.4514,0.503,0.459,19409,15516,0 days 00:16:33,0 days 00:17:25,0.5378,0.4622,0.5086,0.5042,0.0151,0.0196,0.0014,0.0029
Aphelios,Lucian,523,236,2.03,2.56,0.4276,0.5724,0.438,0.477,18718,18611,0 days 00:17:12,0 days 00:17:08,0.498,0.502,0.4687,0.4691,0.0365,0.0479,0.0039,0.0429
Twitch,Yasuo,29,157,2.69,1.71,0.502,0.498,0.5,0.41,20835,17095,0 days 00:17:19,0 days 00:18:32,0.5328,0.4672,0.5086,0.4872,0.0151,0.0075,0.0014,0.1144
Sivir,Senna,15,235,2.77,2.76,0.5347,0.4653,0.464,0.474,19223,15452,0 days 00:19:23,0 days 00:16:12,0.5125,0.4875,0.5184,0.4795,0.0371,0.0107,0.012,0.2869
Kalista,Ashe,429,22,2.13,2.57,0.5117,0.4883,0.452,0.496,15810,17250,0 days 00:17:32,0 days 00:16:48,0.4474,0.5526,0.5042,0.5115,0.0196,0.0531,0.0029,0.0017
Vayne,Lucian,67,236,2.2,2.39,0.4369,0.5631,0.443,0.475,17860,19318,0 days 00:16:32,0 days 00:18:36,0.5393,0.4607,0.5094,0.4691,0.1034,0.0479,0.0528,0.0429
Draven,Kai'Sa,119,145,2.24,2.61,0.4854,0.5146,0.452,0.481,18132,16862,0 days 00:17:27,0 days 00:16:37,0.503,0.497,0.4987,0.5018,0.0193,0.3738,0.0035,0.0619
Vayne,Jinx,67,222,2.38,2.48,0.5275,0.4725,0.449,0.477,16968,17953,0 days 00:16:25,0 days 00:17:39,0.5046,0.4954,0.5094,0.5083,0.1034,0.2215,0.0528,0.0857
Varus,Kog'Maw,110,96,2.56,2.12,0.5634,0.4366,0.472,0.458,20101,22053,0 days 00:18:14,0 days 00:17:29,0.4993,0.5007,0.4991,0.4997,0.0774,0.0264,0.0151,0.0025
