champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate,position
Irelia,Illaoi,39,420,1.87,1.49,0.5806,0.4194,0.387,0.33,20466.0,21530.0,0 days 00:16:53,0 days 00:17:03,0.5005,0.4995,0.4577,0.4889,0.0677,0.0081,0.1462,0.0031,top
Darius,Yone,122,777,2.29,1.53,0.6598,0.3402,0.39,0.36200000000000004,17166.0,18266.0,0 days 00:16:52,0 days 00:15:13,0.5513,0.4487,0.5073,0.4743,0.0449,0.0071,0.1331,0.0515,top
Warwick,Trundle,19,48,1.96,1.71,0.5875,0.4125,0.406,0.381,18181.0,17817.0,0 days 00:16:24,0 days 00:18:01,0.4444,0.5556,0.5144,0.4938,0.0116,0.0065,0.003,0.0007,top
Ornn,Viego,516,234,2.89,1.63,0.6614,0.3386,0.431,0.363,15359.0,18478.0,0 days 00:17:28,0 days 00:17:47,0.5455,0.4545,0.5259,0.4815,0.0432,0.0141,0.005,0.1378,top
Trundle,Irelia,48,39,1.96,1.53,0.5293,0.4707,0.40399999999999997,0.366,16811.0,18085.0,0 days 00:16:11,0 days 00:15:14,0.5465,0.4535,0.4917,0.4554,0.0065,0.0681,0.0007,0.1469,top
Malphite,Poppy,54,78,2.39,2.2,0.5121,0.4879,0.40700000000000003,0.387,15313.0,14871.0,0 days 00:18:30,0 days 00:19:27,0.4924,0.5076,0.5058,0.5177,0.046,0.0274,0.1194,0.0383,top
Tryndamere,Lucian,23,236,1.95,1.47,0.6056,0.3944,0.36,0.366,14940.0,18981.0,0 days 00:16:32,0 days 00:14:47,0.6022,0.3978,0.5069,0.4612,0.0164,0.0193,0.0044,0.0429,top
Yone,Poppy,777,78,1.56,2.38,0.3629,0.6371,0.337,0.397,16800.0,15797.0,0 days 00:17:41,0 days 00:17:25,0.5503,0.4497,0.4778,0.5177,0.0071,0.0273,0.052000000000000005,0.0385,top
Gwen,Wukong,887,62,1.74,2.03,0.5284,0.4716,0.371,0.39,18227.0,16676.0,0 days 00:17:04,0 days 00:16:35,0.4767,0.5233,0.5003,0.5155,0.0608,0.0318,0.2419,0.0095,top
Gnar,Yorick,150,83,2.37,1.77,0.5207,0.4793,0.379,0.313,18412.0,17291.0,0 days 00:16:28,0 days 00:17:16,0.4806,0.5194,0.5,0.4796,0.0553,0.0053,0.0649,0.0032,top
Kennen,Yasuo,85,157,2.38,1.47,0.5801,0.4199,0.39,0.344,16789.0,15346.0,0 days 00:16:21,0 days 00:18:37,0.4986,0.5014,0.496,0.48200000000000004,0.0274,0.0091,0.0064,0.1139,top
Urgot,Kayle,6,10,2.22,1.88,0.6112,0.3888,0.396,0.374,16298.0,16783.0,0 days 00:17:11,0 days 00:16:53,0.5078,0.4922,0.5006,0.5077,0.0178,0.0219,0.0019,0.0035,top
Malphite,Gwen,54,887,2.56,1.7,0.4641,0.5359,0.386,0.353,14852.0,17458.0,0 days 00:16:37,0 days 00:19:13,0.5249,0.4751,0.5058,0.5003,0.046,0.0608,0.1194,0.2419,top
Jayce,Yone,126,777,1.96,1.6,0.5601,0.4399,0.39899999999999997,0.342,20060.0,16553.0,0 days 00:16:54,0 days 00:15:21,0.4975,0.5025,0.4811,0.4743,0.0719,0.0071,0.0497,0.0515,top
Rumble,Fiora,68,114,1.91,1.76,0.4721,0.5279,0.40299999999999997,0.361,18820.0,17201.0,0 days 00:15:59,0 days 00:17:38,0.4642,0.5358,0.4868,0.508,0.0289,0.0525,0.2814,0.0698,top
Riven,Yasuo,92,157,2.44,1.33,0.6557,0.3443,0.406,0.34,16708.0,15189.0,0 days 00:16:38,0 days 00:16:15,0.5678,0.4322,0.5231,0.48200000000000004,0.04,0.0091,0.0043,0.1139,top
Yasuo,Nocturne,157,56,1.52,2.43,0.3432,0.6568,0.376,0.42700000000000005,15215.0,14520.0,0 days 00:15:40,0 days 00:15:40,0.4375,0.5625,0.48200000000000004,0.5331,0.0091,0.0142,0.1139,0.0231,top
Poppy,Renekton,78,58,2.4,1.69,0.5554,0.4446,0.41,0.358,17828.0,14490.0,0 days 00:16:29,0 days 00:18:13,0.5278,0.4722,0.5177,0.4912,0.0274,0.08800000000000001,0.0383,0.1333,top
Gangplank,Gnar,41,150,2.05,2.32,0.444,0.556,0.382,0.38299999999999995,18634.0,17571.0,0 days 00:17:00,0 days 00:17:16,0.4712,0.5288,0.4902,0.5,0.0303,0.0553,0.0235,0.0649,top
Wukong,Maokai,62,57,2.01,2.5,0.535,0.465,0.39399999999999996,0.41200000000000003,17456.0,16704.0,0 days 00:17:37,0 days 00:18:08,0.457,0.5429999999999999,0.5155,0.5325,0.0318,0.0188,0.0095,0.0109,top
Pantheon,Quinn,80,133,1.98,1.83,0.5146,0.4854,0.43,0.425,16831.0,17679.0,0 days 00:18:39,0 days 00:17:27,0.5049,0.4951,0.5229,0.5025,0.0077,0.0091,0.1064,0.0114,top
Fiora,Kayle,114,10,1.75,1.84,0.5998,0.4002,0.348,0.375,16956.0,17239.0,0 days 00:17:27,0 days 00:16:28,0.4759,0.5241,0.508,0.5077,0.0525,0.0219,0.0698,0.0035,top
Viego,Irelia,234,39,1.75,1.71,0.4143,0.5857,0.384,0.38,16440.0,16636.0,0 days 00:15:30,0 days 00:16:51,0.5103,0.4897,0.4815,0.4577,0.0141,0.0677,0.1378,0.1462,top
Rengar,Yone,107,777,2.47,1.46,0.6647,0.3353,0.436,0.353,19804.0,16469.0,0 days 00:17:02,0 days 00:15:23,0.5688,0.4312,0.501,0.4743,0.0175,0.0071,0.011000000000000001,0.0515,top
Gnar,Urgot,150,6,2.16,2.05,0.5155,0.4845,0.396,0.39399999999999996,16460.0,16710.0,0 days 00:17:26,0 days 00:16:11,0.4784,0.5216,0.5,0.5006,0.0553,0.0178,0.0649,0.0019,top
Pantheon,Gwen,80,887,2.18,1.66,0.5026,0.4974,0.439,0.364,19333.0,17408.0,0 days 00:16:19,0 days 00:17:52,0.5258,0.4742,0.5229,0.5003,0.0077,0.0608,0.1064,0.2419,top
Nocturne,Sett,56,875,2.02,1.95,0.4959,0.5041,0.41700000000000004,0.395,16163.0,17434.0,0 days 00:15:35,0 days 00:16:18,0.4908,0.5092,0.5331,0.5074,0.0142,0.1382,0.0231,0.1052,top
Zac,Sett,154,875,2.85,1.69,0.5477,0.4523,0.445,0.37,17147.0,20683.0,0 days 00:16:06,0 days 00:17:55,0.512,0.488,0.5083,0.5074,0.011000000000000001,0.1382,0.0074,0.1052,top
Jayce,Teemo,126,17,2.0,1.75,0.4991,0.5009,0.382,0.33299999999999996,20007.0,18754.0,0 days 00:17:25,0 days 00:17:14,0.514,0.486,0.4811,0.4977,0.0719,0.0139,0.0497,0.0104,top
Yorick,Aatrox,83,266,1.75,2.16,0.495,0.505,0.309,0.34700000000000003,19720.0,17715.0,0 days 00:18:03,0 days 00:15:50,0.5212,0.4788,0.4766,0.5043,0.0054,0.1491,0.0033,0.1013,top
Gangplank,Jax,41,24,2.09,1.57,0.5394,0.4606,0.409,0.327,18743.0,16223.0,0 days 00:17:20,0 days 00:15:42,0.4924,0.5076,0.4902,0.5016,0.0303,0.0422,0.0235,0.0243,top
Teemo,Kennen,17,85,1.68,2.22,0.4592,0.5408,0.32799999999999996,0.365,20267.0,16951.0,0 days 00:19:34,0 days 00:17:04,0.4784,0.5216,0.4977,0.496,0.0139,0.0274,0.0104,0.0064,top
Quinn,Gangplank,133,41,1.87,2.06,0.5537,0.4463,0.414,0.391,20289.0,17554.0,0 days 00:16:57,0 days 00:18:21,0.5181,0.4819,0.5025,0.4902,0.0091,0.0303,0.0114,0.0235,top
Irelia,Kayle,39,10,1.88,1.7,0.6901,0.3099,0.391,0.36700000000000005,17588.0,15595.0,0 days 00:18:28,0 days 00:15:16,0.4937,0.5063,0.4577,0.5077,0.0677,0.0219,0.1462,0.0035,top
Poppy,Quinn,78,133,2.46,1.6,0.5473,0.4527,0.4,0.39799999999999996,13940.0,18278.0,0 days 00:18:32,0 days 00:17:40,0.5484,0.4516,0.5177,0.5025,0.0274,0.0091,0.0383,0.0114,top
Shen,Yone,98,777,3.53,1.5,0.6651,0.3349,0.473,0.35700000000000004,12429.0,17789.0,0 days 00:16:17,0 days 00:19:44,0.5667,0.4333,0.5191,0.4743,0.0775,0.0071,0.1125,0.0515,top
Singed,Jax,27,24,2.12,1.62,0.4958,0.5042,0.409,0.337,18416.0,17732.0,0 days 00:17:23,0 days 00:17:12,0.5204,0.4796,0.5142,0.5016,0.0101,0.0422,0.0013,0.0243,top
