champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Wukong,Fiddlesticks,62,9,2.58,3.16,0.488,0.512,13759,16880,0.4095,0.5905,0.4928,0.5293,0.0079,0.0349,0.0097,0.0151
Volibear,Elise,106,60,2.78,2.74,0.486,0.507,11658,15070,0.4949,0.5051,0.5031,0.5268,0.0147,0.1231,0.0476,0.514
Rumble,Trundle,68,48,2.73,3.03,0.519,0.502,18847,12287,0.4782,0.5218,0.4892,0.4991,0.1175,0.0085,0.2828,0.0007
Vi,Nidalee,254,76,2.43,2.68,0.463,0.491,13490,15807,0.5411,0.4589,0.4944,0.4819,0.0131,0.104,0.0008,0.0465
Udyr,Morgana,77,25,2.46,3.33,0.44,0.517,9713,15643,0.4239,0.5761,0.4838,0.5135,0.0211,0.0793,0.0151,0.485
Poppy,Nunu & Willump,78,20,2.81,3.17,0.497,0.545,14259,11660,0.4765,0.5235,0.4965,0.505,0.0305,0.0373,0.0381,0.011
Volibear,Jax,106,24,2.95,2.34,0.484,0.45,12256,14366,0.5216,0.4784,0.5031,0.4894,0.0147,0.0052,0.0476,0.0239
Amumu,Lee Sin,32,64,2.48,2.98,0.478,0.534,13039,15378,0.4916,0.5084,0.4848,0.5123,0.0063,0.2982,0.0017,0.4717
Nunu & Willump,Vi,20,254,3.17,2.62,0.542,0.487,10831,13832,0.4861,0.5139,0.505,0.4944,0.0373,0.0131,0.011,0.0008
Lillia,Warwick,876,19,2.58,2.67,0.498,0.494,17888,12826,0.4437,0.5563,0.454,0.51,0.0152,0.0223,0.0037,0.003
Lillia,Nocturne,876,56,2.52,2.8,0.495,0.49,17227,15501,0.4492,0.5508,0.454,0.498,0.0152,0.0378,0.0037,0.0236
Trundle,Morgana,48,25,2.79,3.14,0.487,0.507,11593,16411,0.4854,0.5146,0.4991,0.5135,0.0085,0.0793,0.0007,0.485
Warwick,Taliyah,19,163,2.31,2.8,0.485,0.543,11758,18882,0.477,0.523,0.51,0.5241,0.0223,0.0269,0.003,0.0032
Rengar,Poppy,107,78,2.21,3.18,0.451,0.508,14766,13931,0.4216,0.5784,0.4819,0.4965,0.0086,0.0305,0.0111,0.0381
Zac,Nunu & Willump,154,20,3.84,3.15,0.536,0.545,13733,11956,0.5083,0.4917,0.5129,0.505,0.0361,0.0373,0.0073,0.011
Fiddlesticks,Jax,9,24,3.02,2.16,0.496,0.429,16547,13418,0.5267,0.4733,0.5293,0.4894,0.0349,0.0052,0.0151,0.0239
Wukong,Zac,62,154,2.9,3.57,0.513,0.524,16103,14158,0.4873,0.5127,0.4928,0.5129,0.0079,0.0361,0.0097,0.0073
Xin Zhao,Udyr,5,77,2.31,2.75,0.488,0.477,15393,10828,0.5191,0.4809,0.5188,0.4838,0.0734,0.0211,0.0173,0.0151
Ekko,Nocturne,245,56,2.91,2.57,0.509,0.485,17285,15195,0.5107,0.4893,0.494,0.498,0.0476,0.0378,0.0128,0.0236
Poppy,Xin Zhao,78,5,2.86,2.28,0.511,0.491,13849,15850,0.5139,0.4861,0.4965,0.5188,0.0305,0.0734,0.0381,0.0173
Nidalee,Elise,76,60,2.53,2.8,0.492,0.495,15384,14826,0.4483,0.5517,0.4819,0.5268,0.104,0.1231,0.0465,0.514
Diana,Ekko,131,245,2.42,3.1,0.493,0.517,17977,17214,0.4891,0.5109,0.4855,0.494,0.0876,0.0476,0.0866,0.0128
Graves,Wukong,104,62,2.47,2.78,0.478,0.477,16025,14300,0.4801,0.5199,0.4524,0.4928,0.0537,0.0079,0.0228,0.0097
Fiddlesticks,Master Yi,9,11,3.12,2.07,0.495,0.461,15453,15365,0.5496,0.4504,0.5293,0.466,0.0349,0.023,0.0151,0.0052
Lee Sin,Zac,64,154,2.85,3.63,0.54,0.535,15736,13749,0.4713,0.5287,0.5123,0.5129,0.2982,0.0361,0.4717,0.0073
Rammus,Zac,33,154,2.76,4.22,0.519,0.548,12505,14416,0.439,0.561,0.5005,0.5129,0.0151,0.0361,0.0178,0.0073
Ekko,Udyr,245,77,2.88,2.84,0.499,0.47,16451,11405,0.5176,0.4824,0.494,0.4838,0.0476,0.0211,0.0128,0.0151
Shaco,Olaf,35,2,3.05,2.29,0.529,0.466,15470,16209,0.5037,0.4963,0.5114,0.4805,0.0741,0.0198,0.287,0.0127
Vi,Rumble,254,68,2.42,2.88,0.473,0.527,13857,18713,0.5085,0.4915,0.4944,0.4892,0.0131,0.1175,0.0008,0.2828
Diana,Rek'Sai,131,421,2.35,2.74,0.5,0.517,16487,14528,0.49,0.51,0.4855,0.5038,0.0876,0.0507,0.0866,0.0542
Taliyah,Lee Sin,163,64,2.71,2.74,0.544,0.527,18761,14064,0.506,0.494,0.5241,0.5123,0.0269,0.2982,0.0032,0.4717
Jarvan IV,Elise,59,60,3.18,2.6,0.61,0.504,12625,15332,0.5004,0.4996,0.5015,0.5268,0.0237,0.1231,0.0007,0.514
Fiddlesticks,Ivern,9,427,2.8,3.55,0.507,0.476,15173,7714,0.5267,0.4733,0.5293,0.5256,0.0349,0.009,0.0151,0.0018
Viego,Sejuani,234,113,2.33,3.53,0.494,0.533,16252,12616,0.4537,0.5463,0.4786,0.5138,0.0718,0.0168,0.1371,0.0009
Lillia,Morgana,876,25,2.29,3.31,0.468,0.509,16045,16354,0.4168,0.5832,0.454,0.5135,0.0152,0.0793,0.0037,0.485
Lillia,Nunu & Willump,876,20,2.58,3.11,0.5,0.533,17920,11325,0.4606,0.5394,0.454,0.505,0.0152,0.0373,0.0037,0.011
