champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Karma,Rakan,43,497,2.76,2.98,0.4844,0.5156,0.411,0.393,0.4865,0.5135,0.4778,0.5,0.0668,0.028,0.007,0.0017
Veigar,Karma,45,43,2.08,2.72,0.4511,0.5489,0.433,0.415,0.4565,0.5435,0.5082,0.4778,0.006,0.0668,0.0007,0.007
Swain,Zilean,50,26,2.03,3.09,0.5277,0.4723,0.45,0.461,0.4474,0.5526,0.4792,0.5211,0.0193,0.0313,0.0096,0.0063
Rell,Senna,526,235,2.17,3.05,0.5263,0.4737,0.401,0.556,0.4485,0.5515,0.4836,0.5275,0.0364,0.1282,0.0666,0.2869
Anivia,Brand,34,63,2.5,1.56,0.6504,0.3496,0.429,0.402,0.5472,0.4528,0.5007,0.4843,0.0066,0.0165,0.0462,0.0016
Taric,Sett,44,875,3.21,1.96,0.5347,0.4653,0.442,0.409,0.576,0.424,0.4856,0.4539,0.0077,0.0402,0.0006,0.104
Anivia,Morgana,34,25,2.15,2.23,0.5253,0.4747,0.421,0.406,0.5029,0.4971,0.5007,0.493,0.0066,0.0487,0.0462,0.4907
Morgana,Pyke,25,555,2.38,2.02,0.4701,0.5299,0.454,0.441,0.5241,0.4759,0.493,0.4923,0.0487,0.0666,0.4907,0.0406
Zilean,Nautilus,26,111,3.03,2.35,0.3921,0.6079,0.462,0.403,0.5064,0.4936,0.5211,0.5034,0.0313,0.1122,0.0063,0.0565
Nautilus,Seraphine,111,147,2.48,2.55,0.6018,0.3982,0.409,0.438,0.524,0.476,0.5034,0.4769,0.1122,0.0209,0.0565,0.0064
Blitzcrank,Seraphine,53,147,2.61,2.33,0.6016,0.3984,0.393,0.422,0.5484,0.4516,0.5082,0.4769,0.1009,0.0209,0.1231,0.0064
Alistar,Xerath,12,101,2.45,2.6,0.4692,0.5308,0.388,0.473,0.5056,0.4944,0.5015,0.4949,0.1226,0.0765,0.0699,0.0488
Zac,Soraka,154,16,2.87,2.78,0.6053,0.3947,0.444,0.328,0.4943,0.5057,0.5024,0.4954,0.0087,0.0255,0.0074,0.0011
Karma,Xerath,43,101,2.45,2.5,0.4372,0.5628,0.385,0.435,0.4757,0.5243,0.4778,0.4949,0.0668,0.0765,0.007,0.0488
Senna,Morgana,235,25,2.83,2.53,0.4691,0.5309,0.506,0.446,0.5277,0.4723,0.5275,0.493,0.1282,0.0487,0.2869,0.4907
Karma,Morgana,43,25,2.6,2.48,0.4682,0.5318,0.411,0.427,0.4941,0.5059,0.4778,0.493,0.0668,0.0487,0.007,0.4907
Rakan,Pyke,497,555,2.8,2.21,0.445,0.555,0.418,0.454,0.5266,0.4734,0.5,0.4923,0.028,0.0666,0.0017,0.0406
Anivia,Rell,34,526,2.67,1.98,0.5461,0.4539,0.489,0.374,0.5615,0.4385,0.5007,0.4836,0.0066,0.0364,0.0462,0.0666
Alistar,Yuumi,12,350,2.75,4.04,0.4648,0.5352,0.4,0.454,0.5444,0.4556,0.5015,0.4703,0.1226,0.0658,0.0699,0.0199
Zyra,Zac,143,154,2.07,2.6,0.452,0.548,0.458,0.44,0.5272,0.4728,0.5229,0.5024,0.0265,0.0087,0.0031,0.0074
Shaco,Zac,35,154,2.84,2.5,0.5096,0.4904,0.481,0.447,0.5263,0.4737,0.5025,0.5024,0.0249,0.0087,0.2796,0.0074
