web-scraper-order,web-scraper-start-url,champ_page,champ_page-href,champ_name,counters_page,counters_page-href,counter_name,lane kill rate,kill participation,kda,dmgtochamp,first tower kill,win ratio,position win rate,position pick rate,ban rate
"1621549887-2089","https://na.op.gg/champion/statistics","Samira
									
																					Bottom","https://na.op.gg/champion/samira/statistics/adc","Samira","Counters","https://na.op.gg/champion/samira/statistics/adc/matchup","Tahm Kench","39.27%		
																							Lane Kill Rate
																							
			60.73%","48.1%		
																							Kill Participation
																							
			46.8%","2.17 : 1		
																							KDA
																							
			2.87 : 1","17,911		
																							Damage Dealt to Champions
																							
			9,570","16'10""
						
																																																First Tower Kill
																																																
							17'21""","42.99%		
																							Win Ratio
																							
			57.01%","49.91%		
																							Position Win Rate
																							
			54.29%","20.17%		
																							Position Pick Rate
																							
			0.98%","64.63%		
																							Ban Rate
																							
			0.23%"
"1621546268-1598","https://na.op.gg/champion/statistics","Aphelios
									
																					Bottom","https://na.op.gg/champion/aphelios/statistics/adc","Aphelios","Counters","https://na.op.gg/champion/aphelios/statistics/adc/matchup","Varus","40.13%		
																							Lane Kill Rate
																							
			59.87%","40.1%		
																							Kill Participation
																							
			49.5%","1.81 : 1		
																							KDA
																							
			2.87 : 1","16,226		
																							Damage Dealt to Champions
																							
			20,294","17'03""
						
																																																First Tower Kill
																																																
							17'17""","45.31%		
																							Win Ratio
																							
			54.69%","46.87%		
																							Position Win Rate
																							
			49.91%","3.65%		
																							Position Pick Rate
																							
			7.74%","0.39%		
																							Ban Rate
																							
			1.51%"
"1621549680-1986","https://na.op.gg/champion/statistics","Swain
									
																					Support, 																					Bottom","https://na.op.gg/champion/swain/statistics/adc","Swain","Counters","https://na.op.gg/champion/swain/statistics/adc/matchup","Varus","48.09%		
																							Lane Kill Rate
																							
			51.91%","49.3%		
																							Kill Participation
																							
			47.3%","2.62 : 1		
																							KDA
																							
			2.27 : 1","19,761		
																							Damage Dealt to Champions
																							
			21,789","17'32""
						
																																																First Tower Kill
																																																
							18'24""","56.91%		
																							Win Ratio
																							
			43.09%","55.93%		
																							Position Win Rate
																							
			49.91%","1.20%		
																							Position Pick Rate
																							
			7.74%","0.96%		
																							Ban Rate
																							
			1.51%"
"1621549064-1702","https://na.op.gg/champion/statistics","Draven
									
																					Bottom","https://na.op.gg/champion/draven/statistics/adc","Draven","Counters","https://na.op.gg/champion/draven/statistics/adc/matchup","Kai'Sa","48.56%		
																							Lane Kill Rate
																							
			51.44%","45.2%		
																							Kill Participation
																							
			48.1%","2.24 : 1		
																							KDA
																							
			2.61 : 1","18,097		
																							Damage Dealt to Champions
																							
			16,843","17'27""
						
																																																First Tower Kill
																																																
							16'37""","50.24%		
																							Win Ratio
																							
			49.76%","49.87%		
																							Position Win Rate
																							
			50.18%","1.93%		
																							Position Pick Rate
																							
			37.38%","0.35%		
																							Ban Rate
																							
			6.19%"
"1621549526-1914","https://na.op.gg/champion/statistics","Sivir
									
																					Bottom","https://na.op.gg/champion/sivir/statistics/adc","Sivir","Counters","https://na.op.gg/champion/sivir/statistics/adc/matchup","Vayne","47.85%		
																							Lane Kill Rate
																							
			52.15%","46.9%		
																							Kill Participation
																							
			42.8%","2.58 : 1		
																							KDA
																							
			2.20 : 1","18,755		
																							Damage Dealt to Champions
																							
			17,161","18'27""
						
																																																First Tower Kill
																																																
							16'29""","48.65%		
																							Win Ratio
																							
			51.35%","51.84%		
																							Position Win Rate
																							
			50.94%","3.71%		
																							Position Pick Rate
																							
			10.34%","1.20%		
																							Ban Rate
																							
			5.28%"
"1621549012-1696","https://na.op.gg/champion/statistics","Twitch
									
																					Bottom","https://na.op.gg/champion/twitch/statistics/adc","Twitch","Counters","https://na.op.gg/champion/twitch/statistics/adc/matchup","Kalista","54.86%		
																							Lane Kill Rate
																							
			45.14%","50.3%		
																							Kill Participation
																							
			45.9%","2.62 : 1		
																							KDA
																							
			2.02 : 1","19,409		
																							Damage Dealt to Champions
																							
			15,516","16'33""
						
																																																First Tower Kill
																																																
							17'25""","53.78%		
																							Win Ratio
																							
			46.22%","50.86%		
																							Position Win Rate
																							
			50.42%","1.51%		
																							Position Pick Rate
																							
			1.96%","0.14%		
																							Ban Rate
																							
			0.29%"
"1621546268-1600","https://na.op.gg/champion/statistics","Aphelios
									
																					Bottom","https://na.op.gg/champion/aphelios/statistics/adc","Aphelios","Counters","https://na.op.gg/champion/aphelios/statistics/adc/matchup","Lucian","42.76%		
																							Lane Kill Rate
																							
			57.24%","43.8%		
																							Kill Participation
																							
			47.7%","2.03 : 1		
																							KDA
																							
			2.56 : 1","18,718		
																							Damage Dealt to Champions
																							
			18,611","17'12""
						
																																																First Tower Kill
																																																
							17'08""","49.80%		
																							Win Ratio
																							
			50.20%","46.87%		
																							Position Win Rate
																							
			46.91%","3.65%		
																							Position Pick Rate
																							
			4.79%","0.39%		
																							Ban Rate
																							
			4.29%"
"1621549012-1699","https://na.op.gg/champion/statistics","Twitch
									
																					Bottom","https://na.op.gg/champion/twitch/statistics/adc","Twitch","Counters","https://na.op.gg/champion/twitch/statistics/adc/matchup","Yasuo","50.20%		
																							Lane Kill Rate
																							
			49.80%","50.0%		
																							Kill Participation
																							
			41.0%","2.69 : 1		
																							KDA
																							
			1.71 : 1","20,835		
																							Damage Dealt to Champions
																							
			17,095","17'19""
						
																																																First Tower Kill
																																																
							18'32""","53.28%		
																							Win Ratio
																							
			46.72%","50.86%		
																							Position Win Rate
																							
			48.72%","1.51%		
																							Position Pick Rate
																							
			0.75%","0.14%		
																							Ban Rate
																							
			11.44%"
"1621549526-1924","https://na.op.gg/champion/statistics","Sivir
									
																					Bottom","https://na.op.gg/champion/sivir/statistics/adc","Sivir","Counters","https://na.op.gg/champion/sivir/statistics/adc/matchup","Senna","53.47%		
																							Lane Kill Rate
																							
			46.53%","46.4%		
																							Kill Participation
																							
			47.4%","2.77 : 1		
																							KDA
																							
			2.76 : 1","19,223		
																							Damage Dealt to Champions
																							
			15,452","19'23""
						
																																																First Tower Kill
																																																
							16'12""","51.25%		
																							Win Ratio
																							
			48.75%","51.84%		
																							Position Win Rate
																							
			47.95%","3.71%		
																							Position Pick Rate
																							
			1.07%","1.20%		
																							Ban Rate
																							
			28.69%"
"1621549116-1734","https://na.op.gg/champion/statistics","Kalista
									
																					Bottom, 																					Top","https://na.op.gg/champion/kalista/statistics/adc","Kalista","Counters","https://na.op.gg/champion/kalista/statistics/adc/matchup","Ashe","51.17%		
																							Lane Kill Rate
																							
			48.83%","45.2%		
																							Kill Participation
																							
			49.6%","2.13 : 1		
																							KDA
																							
			2.57 : 1","15,810		
																							Damage Dealt to Champions
																							
			17,250","17'32""
						
																																																First Tower Kill
																																																
							16'48""","44.74%		
																							Win Ratio
																							
			55.26%","50.42%		
																							Position Win Rate
																							
			51.15%","1.96%		
																							Position Pick Rate
																							
			5.31%","0.29%		
																							Ban Rate
																							
			0.17%"
"1621549731-2008","https://na.op.gg/champion/statistics","Vayne
									
																					Bottom, 																					Top","https://na.op.gg/champion/vayne/statistics/adc","Vayne","Counters","https://na.op.gg/champion/vayne/statistics/adc/matchup","Lucian","43.69%		
																							Lane Kill Rate
																							
			56.31%","44.3%		
																							Kill Participation
																							
			47.5%","2.20 : 1		
																							KDA
																							
			2.39 : 1","17,860		
																							Damage Dealt to Champions
																							
			19,318","16'32""
						
																																																First Tower Kill
																																																
							18'36""","53.93%		
																							Win Ratio
																							
			46.07%","50.94%		
																							Position Win Rate
																							
			46.91%","10.34%		
																							Position Pick Rate
																							
			4.79%","5.28%		
																							Ban Rate
																							
			4.29%"
"1621549064-1703","https://na.op.gg/champion/statistics","Draven
									
																					Bottom","https://na.op.gg/champion/draven/statistics/adc","Draven","Counters","https://na.op.gg/champion/draven/statistics/adc/matchup","Kai'Sa","48.54%		
																							Lane Kill Rate
																							
			51.46%","45.2%		
																							Kill Participation
																							
			48.1%","2.24 : 1		
																							KDA
																							
			2.61 : 1","18,132		
																							Damage Dealt to Champions
																							
			16,862","17'27""
						
																																																First Tower Kill
																																																
							16'37""","50.30%		
																							Win Ratio
																							
			49.70%","49.87%		
																							Position Win Rate
																							
			50.18%","1.93%		
																							Position Pick Rate
																							
			37.38%","0.35%		
																							Ban Rate
																							
			6.19%"
"1621549731-2002","https://na.op.gg/champion/statistics","Vayne
									
																					Bottom, 																					Top","https://na.op.gg/champion/vayne/statistics/adc","Vayne","Counters","https://na.op.gg/champion/vayne/statistics/adc/matchup","Jinx","52.75%		
																							Lane Kill Rate
																							
			47.25%","44.9%		
																							Kill Participation
																							
			47.7%","2.38 : 1		
																							KDA
																							
			2.48 : 1","16,968		
																							Damage Dealt to Champions
																							
			17,953","16'25""
						
																																																First Tower Kill
																																																
							17'39""","50.46%		
																							Win Ratio
																							
			49.54%","50.94%		
																							Position Win Rate
																							
			50.83%","10.34%		
																							Position Pick Rate
																							
			22.15%","5.28%		
																							Ban Rate
																							
			8.57%"
"1621549371-1851","https://na.op.gg/champion/statistics","Varus
									
																					Bottom","https://na.op.gg/champion/varus/statistics/adc","Varus","Counters","https://na.op.gg/champion/varus/statistics/adc/matchup","Kog'Maw","56.34%		
																							Lane Kill Rate
																							
			43.66%","47.2%		
																							Kill Participation
																							
			45.8%","2.56 : 1		
																							KDA
																							
			2.12 : 1","20,101		
																							Damage Dealt to Champions
																							
			22,053","18'14""
						
																																																First Tower Kill
																																																
							17'29""","49.93%		
																							Win Ratio
																							
			50.07%","49.91%		
																							Position Win Rate
																							
			49.97%","7.74%		
																							Position Pick Rate
																							
			2.64%","1.51%		
																							Ban Rate
																							
			0.25%"
"1621549371-1858","https://na.op.gg/champion/statistics","Varus
									
																					Bottom","https://na.op.gg/champion/varus/statistics/adc","Varus","Counters","https://na.op.gg/champion/varus/statistics/adc/matchup","Swain","51.80%		
																							Lane Kill Rate
																							
			48.20%","47.3%		
																							Kill Participation
																							
			49.4%","2.27 : 1		
																							KDA
																							
			2.63 : 1","21,809		
																							Damage Dealt to Champions
																							
			19,790","18'25""
						
																																																First Tower Kill
																																																
							17'32""","42.99%		
																							Win Ratio
																							
			57.01%","49.91%		
																							Position Win Rate
																							
			55.93%","7.74%		
																							Position Pick Rate
																							
			1.20%","1.51%		
																							Ban Rate
																							
			0.96%"
"1621549423-1876","https://na.op.gg/champion/statistics","Ezreal
									
																					Bottom","https://na.op.gg/champion/ezreal/statistics/adc","Ezreal","Counters","https://na.op.gg/champion/ezreal/statistics/adc/matchup","Kog'Maw","51.11%		
																							Lane Kill Rate
																							
			48.89%","44.2%		
																							Kill Participation
																							
			46.4%","2.39 : 1		
																							KDA
																							
			2.24 : 1","21,185		
																							Damage Dealt to Champions
																							
			22,136","17'45""
						
																																																First Tower Kill
																																																
							17'46""","49.53%		
																							Win Ratio
																							
			50.47%","47.85%		
																							Position Win Rate
																							
			49.97%","27.79%		
																							Position Pick Rate
																							
			2.64%","3.23%		
																							Ban Rate
																							
			0.25%"
"1621549423-1879","https://na.op.gg/champion/statistics","Ezreal
									
																					Bottom","https://na.op.gg/champion/ezreal/statistics/adc","Ezreal","Counters","https://na.op.gg/champion/ezreal/statistics/adc/matchup","Senna","52.80%		
																							Lane Kill Rate
																							
			47.20%","44.3%		
																							Kill Participation
																							
			49.7%","2.31 : 1		
																							KDA
																							
			2.80 : 1","21,600		
																							Damage Dealt to Champions
																							
			16,287","18'18""
						
																																																First Tower Kill
																																																
							17'15""","48.71%		
																							Win Ratio
																							
			51.29%","47.85%		
																							Position Win Rate
																							
			47.95%","27.79%		
																							Position Pick Rate
																							
			1.07%","3.23%		
																							Ban Rate
																							
			28.69%"
"1621548960-1668","https://na.op.gg/champion/statistics","Lucian
									
																					Bottom, 																					Middle, 																					Top","https://na.op.gg/champion/lucian/statistics/adc","Lucian","Counters","https://na.op.gg/champion/lucian/statistics/adc/matchup","Sivir","56.18%		
																							Lane Kill Rate
																							
			43.82%","44.0%		
																							Kill Participation
																							
			45.9%","2.30 : 1		
																							KDA
																							
			2.57 : 1","18,268		
																							Damage Dealt to Champions
																							
			19,362","17'23""
						
																																																First Tower Kill
																																																
							17'58""","46.26%		
																							Win Ratio
																							
			53.74%","46.91%		
																							Position Win Rate
																							
			51.84%","4.79%		
																							Position Pick Rate
																							
			3.71%","4.29%		
																							Ban Rate
																							
			1.20%"
