web-scraper-order,web-scraper-start-url,champ_page,champ_page-href,champ_name,counters_page,counters_page-href,counter_name,lane kill rate,kill participation,kda,dmgtochamp,first tower kill,win ratio,position win rate,position pick rate,ban rate
"1621635576-3302","https://na.op.gg/champion/statistics","Lux
									
																					Support, 																					Middle","https://na.op.gg/champion/lux/statistics/mid","Lux","Counters","https://na.op.gg/champion/lux/statistics/mid/matchup","Diana","41.86%		
																							Lane Kill Rate
																							
			58.14%","48.0%		
																							Kill Participation
																							
			42.9%","2.80 : 1		
																							KDA
																							
			2.07 : 1","18,720		
																							Damage Dealt to Champions
																							
			17,989","17'49""
						
																																																First Tower Kill
																																																
							18'19""","50.32%		
																							Win Ratio
																							
			49.68%","48.11%		
																							Position Win Rate
																							
			48.57%","1.25%		
																							Position Pick Rate
																							
			1.94%","0.37%		
																							Ban Rate
																							
			8.87%"
"1621639873-5303","https://na.op.gg/champion/statistics","Rumble
									
																					Jungle, 																					Top, 																					Middle","https://na.op.gg/champion/rumble/statistics/mid","Rumble","Counters","https://na.op.gg/champion/rumble/statistics/mid/matchup","Malzahar","67.89%		
																							Lane Kill Rate
																							
			32.11%","47.5%		
																							Kill Participation
																							
			41.2%","2.79 : 1		
																							KDA
																							
			2.15 : 1","18,968		
																							Damage Dealt to Champions
																							
			17,924","17'40""
						
																																																First Tower Kill
																																																
							17'36""","55.07%		
																							Win Ratio
																							
			44.93%","51.17%		
																							Position Win Rate
																							
			52.42%","2.28%		
																							Position Pick Rate
																							
			1.38%","28.14%		
																							Ban Rate
																							
			0.45%"
"1621640240-5490","https://na.op.gg/champion/statistics","Galio
									
																					Middle, 																					Support","https://na.op.gg/champion/galio/statistics/mid","Galio","Counters","https://na.op.gg/champion/galio/statistics/mid/matchup","Tristana","38.14%		
																							Lane Kill Rate
																							
			61.86%","44.2%		
																							Kill Participation
																							
			43.8%","2.65 : 1		
																							KDA
																							
			2.31 : 1","11,381		
																							Damage Dealt to Champions
																							
			15,472","14'56""
						
																																																First Tower Kill
																																																
							17'54""","45.64%		
																							Win Ratio
																							
			54.36%","51.29%		
																							Position Win Rate
																							
			50.27%","4.79%		
																							Position Pick Rate
																							
			0.94%","3.86%		
																							Ban Rate
																							
			4.98%"
"1621639066-4950","https://na.op.gg/champion/statistics","Annie
									
																					Middle","https://na.op.gg/champion/annie/statistics/mid","Annie","Counters","https://na.op.gg/champion/annie/statistics/mid/matchup","Cho'Gath","41.56%		
																							Lane Kill Rate
																							
			58.44%","47.5%		
																							Kill Participation
																							
			44.0%","2.41 : 1		
																							KDA
																							
			2.46 : 1","22,428		
																							Damage Dealt to Champions
																							
			17,878","18'40""
						
																																																First Tower Kill
																																																
							18'26""","41.38%		
																							Win Ratio
																							
			58.62%","54.12%		
																							Position Win Rate
																							
			51.78%","1.09%		
																							Position Pick Rate
																							
			0.58%","0.12%		
																							Ban Rate
																							
			0.10%"
"1621641339-6003","https://na.op.gg/champion/statistics","Talon
									
																					Middle","https://na.op.gg/champion/talon/statistics/mid","Talon","Counters","https://na.op.gg/champion/talon/statistics/mid/matchup","Corki","66.39%		
																							Lane Kill Rate
																							
			33.61%","45.0%		
																							Kill Participation
																							
			46.0%","2.41 : 1		
																							KDA
																							
			2.22 : 1","20,004		
																							Damage Dealt to Champions
																							
			23,722","18'18""
						
																																																First Tower Kill
																																																
							18'26""","50.64%		
																							Win Ratio
																							
			49.36%","51.56%		
																							Position Win Rate
																							
			50.69%","8.62%		
																							Position Pick Rate
																							
			0.93%","18.30%		
																							Ban Rate
																							
			0.03%"
"1621635354-3181","https://na.op.gg/champion/statistics","Syndra
									
																					Middle","https://na.op.gg/champion/syndra/statistics/mid","Syndra","Counters","https://na.op.gg/champion/syndra/statistics/mid/matchup","Akali","43.75%		
																							Lane Kill Rate
																							
			56.25%","41.1%		
																							Kill Participation
																							
			43.7%","2.04 : 1		
																							KDA
																							
			2.33 : 1","20,358		
																							Damage Dealt to Champions
																							
			18,382","19'31""
						
																																																First Tower Kill
																																																
							17'43""","49.43%		
																							Win Ratio
																							
			50.57%","46.53%		
																							Position Win Rate
																							
			47.76%","1.52%		
																							Position Pick Rate
																							
			8.69%","0.24%		
																							Ban Rate
																							
			21.86%"
"1621638826-4803","https://na.op.gg/champion/statistics","Viktor
									
																					Middle","https://na.op.gg/champion/viktor/statistics/mid","Viktor","Counters","https://na.op.gg/champion/viktor/statistics/mid/matchup","Orianna","46.81%		
																							Lane Kill Rate
																							
			53.19%","40.7%		
																							Kill Participation
																							
			43.9%","2.46 : 1		
																							KDA
																							
			2.69 : 1","20,380		
																							Damage Dealt to Champions
																							
			15,776","18'40""
						
																																																First Tower Kill
																																																
							18'03""","55.14%		
																							Win Ratio
																							
			44.86%","50.27%		
																							Position Win Rate
																							
			46.52%","5.52%		
																							Position Pick Rate
																							
			3.05%","0.86%		
																							Ban Rate
																							
			0.30%"
"1621637393-4168","https://na.op.gg/champion/statistics","Vladimir
									
																					Middle, 																					Top","https://na.op.gg/champion/vladimir/statistics/mid","Vladimir","Counters","https://na.op.gg/champion/vladimir/statistics/mid/matchup","Nunu & Willump","58.84%		
																							Lane Kill Rate
																							
			41.16%","42.8%		
																							Kill Participation
																							
			49.9%","2.43 : 1		
																							KDA
																							
			2.36 : 1","22,689		
																							Damage Dealt to Champions
																							
			16,880","18'06""
						
																																																First Tower Kill
																																																
							17'15""","56.85%		
																							Win Ratio
																							
			43.15%","48.93%		
																							Position Win Rate
																							
			46.01%","3.62%		
																							Position Pick Rate
																							
			0.62%","2.47%		
																							Ban Rate
																							
			1.12%"
"1621638948-4883","https://na.op.gg/champion/statistics","Xerath
									
																					Support, 																					Middle","https://na.op.gg/champion/xerath/statistics/mid","Xerath","Counters","https://na.op.gg/champion/xerath/statistics/mid/matchup","Tristana","44.23%		
																							Lane Kill Rate
																							
			55.77%","44.5%		
																							Kill Participation
																							
			40.1%","2.97 : 1		
																							KDA
																							
			2.00 : 1","19,278		
																							Damage Dealt to Champions
																							
			15,233","16'04""
						
																																																First Tower Kill
																																																
							17'55""","52.21%		
																							Win Ratio
																							
			47.79%","50.26%		
																							Position Win Rate
																							
			50.27%","3.91%		
																							Position Pick Rate
																							
			0.94%","4.96%		
																							Ban Rate
																							
			4.98%"
"1621638339-4570","https://na.op.gg/champion/statistics","Sett
									
																					Top, 																					Support, 																					Middle","https://na.op.gg/champion/sett/statistics/mid","Sett","Counters","https://na.op.gg/champion/sett/statistics/mid/matchup","LeBlanc","52.19%		
																							Lane Kill Rate
																							
			47.81%","39.3%		
																							Kill Participation
																							
			46.4%","1.80 : 1		
																							KDA
																							
			3.04 : 1","16,606		
																							Damage Dealt to Champions
																							
			19,639","18'26""
						
																																																First Tower Kill
																																																
							17'33""","51.18%		
																							Win Ratio
																							
			48.82%","51.13%		
																							Position Win Rate
																							
			49.71%","1.99%		
																							Position Pick Rate
																							
			8.21%","10.52%		
																							Ban Rate
																							
			12.15%"
