web-scraper-order,web-scraper-start-url,champ_page,champ_page-href,champ_name,counters_page,counters_page-href,counter_name,lane kill rate,kill participation,kda,dmgtochamp,first tower kill,win ratio,position win rate,position pick rate,ban rate
"1621576488-1027","https://na.op.gg/champion/statistics","Irelia
									
																					Top, 																					Middle","https://na.op.gg/champion/irelia/statistics/top","Irelia","Counters","https://na.op.gg/champion/irelia/statistics/top/matchup","Illaoi","58.06%		
																							Lane Kill Rate
																							
			41.94%","38.7%		
																							Kill Participation
																							
			33.0%","1.87 : 1		
																							KDA
																							
			1.49 : 1","20,466		
																							Damage Dealt to Champions
																							
			21,530","16'53""
						
																																																First Tower Kill
																																																
							17'03""","50.05%		
																							Win Ratio
																							
			49.95%","45.77%		
																							Position Win Rate
																							
			48.89%","6.77%		
																							Position Pick Rate
																							
			0.81%","14.62%		
																							Ban Rate
																							
			0.31%"
"1621599532-2633","https://na.op.gg/champion/statistics","Darius
									
																					Top","https://na.op.gg/champion/darius/statistics/top","Darius","Counters","https://na.op.gg/champion/darius/statistics/top/matchup","Yone","65.98%		
																							Lane Kill Rate
																							
			34.02%","39.0%		
																							Kill Participation
																							
			36.2%","2.29 : 1		
																							KDA
																							
			1.53 : 1","17,166		
																							Damage Dealt to Champions
																							
			18,266","16'52""
						
																																																First Tower Kill
																																																
							15'13""","55.13%		
																							Win Ratio
																							
			44.87%","50.73%		
																							Position Win Rate
																							
			47.43%","4.49%		
																							Position Pick Rate
																							
			0.71%","13.31%		
																							Ban Rate
																							
			5.15%"
"1621576370-976","https://na.op.gg/champion/statistics","Warwick
									
																					Jungle, 																					Top","https://na.op.gg/champion/warwick/statistics/top","Warwick","Counters","https://na.op.gg/champion/warwick/statistics/top/matchup","Trundle","58.75%		
																							Lane Kill Rate
																							
			41.25%","40.6%		
																							Kill Participation
																							
			38.1%","1.96 : 1		
																							KDA
																							
			1.71 : 1","18,181		
																							Damage Dealt to Champions
																							
			17,817","16'24""
						
																																																First Tower Kill
																																																
							18'01""","44.44%		
																							Win Ratio
																							
			55.56%","51.44%		
																							Position Win Rate
																							
			49.38%","1.16%		
																							Position Pick Rate
																							
			0.65%","0.30%		
																							Ban Rate
																							
			0.07%"
"1621599295-2510","https://na.op.gg/champion/statistics","Ornn
									
																					Top","https://na.op.gg/champion/ornn/statistics/top","Ornn","Counters","https://na.op.gg/champion/ornn/statistics/top/matchup","Viego","66.14%		
																							Lane Kill Rate
																							
			33.86%","43.1%		
																							Kill Participation
																							
			36.3%","2.89 : 1		
																							KDA
																							
			1.63 : 1","15,359		
																							Damage Dealt to Champions
																							
			18,478","17'28""
						
																																																First Tower Kill
																																																
							17'47""","54.55%		
																							Win Ratio
																							
			45.45%","52.59%		
																							Position Win Rate
																							
			48.15%","4.32%		
																							Position Pick Rate
																							
			1.41%","0.50%		
																							Ban Rate
																							
			13.78%"
"1621567452-117","https://na.op.gg/champion/statistics","Trundle
									
																					Jungle, 																					Top","https://na.op.gg/champion/trundle/statistics/top","Trundle","Counters","https://na.op.gg/champion/trundle/statistics/top/matchup","Irelia","52.93%		
																							Lane Kill Rate
																							
			47.07%","40.4%		
																							Kill Participation
																							
			36.6%","1.96 : 1		
																							KDA
																							
			1.53 : 1","16,811		
																							Damage Dealt to Champions
																							
			18,085","16'11""
						
																																																First Tower Kill
																																																
							15'14""","54.65%		
																							Win Ratio
																							
			45.35%","49.17%		
																							Position Win Rate
																							
			45.54%","0.65%		
																							Position Pick Rate
																							
			6.81%","0.07%		
																							Ban Rate
																							
			14.69%"
"1621599413-2564","https://na.op.gg/champion/statistics","Malphite
									
																					Top, 																					Middle","https://na.op.gg/champion/malphite/statistics/top","Malphite","Counters","https://na.op.gg/champion/malphite/statistics/top/matchup","Poppy","51.21%		
																							Lane Kill Rate
																							
			48.79%","40.7%		
																							Kill Participation
																							
			38.7%","2.39 : 1		
																							KDA
																							
			2.20 : 1","15,313		
																							Damage Dealt to Champions
																							
			14,871","18'30""
						
																																																First Tower Kill
																																																
							19'27""","49.24%		
																							Win Ratio
																							
			50.76%","50.58%		
																							Position Win Rate
																							
			51.77%","4.60%		
																							Position Pick Rate
																							
			2.74%","11.94%		
																							Ban Rate
																							
			3.83%"
"1621576961-1245","https://na.op.gg/champion/statistics","Tryndamere
									
																					Top","https://na.op.gg/champion/tryndamere/statistics/top","Tryndamere","Counters","https://na.op.gg/champion/tryndamere/statistics/top/matchup","Lucian","60.56%		
																							Lane Kill Rate
																							
			39.44%","36.0%		
																							Kill Participation
																							
			36.6%","1.95 : 1		
																							KDA
																							
			1.47 : 1","14,940		
																							Damage Dealt to Champions
																							
			18,981","16'32""
						
																																																First Tower Kill
																																																
							14'47""","60.22%		
																							Win Ratio
																							
			39.78%","50.69%		
																							Position Win Rate
																							
			46.12%","1.64%		
																							Position Pick Rate
																							
			1.93%","0.44%		
																							Ban Rate
																							
			4.29%"
"1621569996-311","https://na.op.gg/champion/statistics","Yone
									
																					Middle, 																					Top","https://na.op.gg/champion/yone/statistics/top","Yone","Counters","https://na.op.gg/champion/yone/statistics/top/matchup","Poppy","36.29%		
																							Lane Kill Rate
																							
			63.71%","33.7%		
																							Kill Participation
																							
			39.7%","1.56 : 1		
																							KDA
																							
			2.38 : 1","16,800		
																							Damage Dealt to Champions
																							
			15,797","17'41""
						
																																																First Tower Kill
																																																
							17'25""","55.03%		
																							Win Ratio
																							
			44.97%","47.78%		
																							Position Win Rate
																							
			51.77%","0.71%		
																							Position Pick Rate
																							
			2.73%","5.20%		
																							Ban Rate
																							
			3.85%"
"1621599768-2716","https://na.op.gg/champion/statistics","Gwen
									
																					Top, 																					Middle, 																					Jungle","https://na.op.gg/champion/gwen/statistics/top","Gwen","Counters","https://na.op.gg/champion/gwen/statistics/top/matchup","Wukong","52.84%		
																							Lane Kill Rate
																							
			47.16%","37.1%		
																							Kill Participation
																							
			39.0%","1.74 : 1		
																							KDA
																							
			2.03 : 1","18,227		
																							Damage Dealt to Champions
																							
			16,676","17'04""
						
																																																First Tower Kill
																																																
							16'35""","47.67%		
																							Win Ratio
																							
			52.33%","50.03%		
																							Position Win Rate
																							
			51.55%","6.08%		
																							Position Pick Rate
																							
			3.18%","24.19%		
																							Ban Rate
																							
			0.95%"
"1621599058-2412","https://na.op.gg/champion/statistics","Gnar
									
																					Top","https://na.op.gg/champion/gnar/statistics/top","Gnar","Counters","https://na.op.gg/champion/gnar/statistics/top/matchup","Yorick","52.07%		
																							Lane Kill Rate
																							
			47.93%","37.9%		
																							Kill Participation
																							
			31.3%","2.37 : 1		
																							KDA
																							
			1.77 : 1","18,412		
																							Damage Dealt to Champions
																							
			17,291","16'28""
						
																																																First Tower Kill
																																																
							17'16""","48.06%		
																							Win Ratio
																							
			51.94%","50.00%		
																							Position Win Rate
																							
			47.96%","5.53%		
																							Position Pick Rate
																							
			0.53%","6.49%		
																							Ban Rate
																							
			0.32%"
