champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Lux,Diana,99,131,2.8,2.07,0.4186,0.5814,0.48,0.429,18720,17989,0 days 00:17:49,0 days 00:18:19,0.5032,0.4968,0.4811,0.4857,0.0125,0.0194,0.0037,0.0887
Rumble,Malzahar,68,90,2.79,2.15,0.6789,0.3211,0.475,0.412,18968,17924,0 days 00:17:40,0 days 00:17:36,0.5507,0.4493,0.5117,0.5242,0.0228,0.0138,0.2814,0.0045
Galio,Tristana,3,18,2.65,2.31,0.3814,0.6186,0.442,0.438,11381,15472,0 days 00:14:56,0 days 00:17:54,0.4564,0.5436,0.5129,0.5027,0.0479,0.0094,0.0386,0.0498
Annie,Cho'Gath,1,31,2.41,2.46,0.4156,0.5844,0.475,0.44,22428,17878,0 days 00:18:40,0 days 00:18:26,0.4138,0.5862,0.5412,0.5178,0.0109,0.0058,0.0012,0.001
Talon,Corki,91,42,2.41,2.22,0.6639,0.3361,0.45,0.46,20004,23722,0 days 00:18:18,0 days 00:18:26,0.5064,0.4936,0.5156,0.5069,0.0862,0.0093,0.183,0.0003
Syndra,Akali,134,84,2.04,2.33,0.4375,0.5625,0.411,0.437,20358,18382,0 days 00:19:31,0 days 00:17:43,0.4943,0.5057,0.4653,0.4776,0.0152,0.0869,0.0024,0.2186
Viktor,Orianna,112,61,2.46,2.69,0.4681,0.5319,0.407,0.439,20380,15776,0 days 00:18:40,0 days 00:18:03,0.5514,0.4486,0.5027,0.4652,0.0552,0.0305,0.0086,0.003
Vladimir,Nunu & Willump,8,20,2.43,2.36,0.5884,0.4116,0.428,0.499,22689,16880,0 days 00:18:06,0 days 00:17:15,0.5685,0.4315,0.4893,0.4601,0.0362,0.0062,0.0247,0.0112
Xerath,Tristana,101,18,2.97,2.0,0.4423,0.5577,0.445,0.401,19278,15233,0 days 00:16:04,0 days 00:17:55,0.5221,0.4779,0.5026,0.5027,0.0391,0.0094,0.0496,0.0498
Sett,LeBlanc,875,7,1.8,3.04,0.5219,0.4781,0.393,0.464,16606,19639,0 days 00:18:26,0 days 00:17:33,0.5118,0.4882,0.5113,0.4971,0.0199,0.0821,0.1052,0.1215
Azir,Katarina,268,55,2.0,2.52,0.4844,0.5156,0.414,0.477,17963,18693,0 days 00:18:16,0 days 00:17:49,0.4231,0.5769,0.4874,0.5115,0.0092,0.096,0.0006,0.1899
Zed,Orianna,238,61,2.38,2.25,0.6866,0.3134,0.442,0.415,18894,14783,0 days 00:18:34,0 days 00:18:00,0.5258,0.4742,0.5001,0.4652,0.126,0.0305,0.4129,0.003
Irelia,Azir,39,268,1.79,2.2,0.5919,0.4081,0.401,0.431,17231,19383,0 days 00:18:51,0 days 00:17:19,0.5067,0.4933,0.454,0.4874,0.0348,0.0092,0.1462,0.0006
Viktor,Malzahar,112,90,2.86,2.33,0.6368,0.3632,0.43,0.393,20574,16174,0 days 00:17:45,0 days 00:18:31,0.5368,0.4632,0.5027,0.5242,0.0552,0.0138,0.0086,0.0045
