web-scraper-order,web-scraper-start-url,champ_page,champ_page-href,champ_name,counters_page,counters_page-href,counter_name,lane kill rate,kill participation,kda,dmgtochamp,first tower kill,win ratio,position win rate,position pick rate,ban rate
"1621662236-365","https://na.op.gg/champion/statistics","Wukong
									
																					Top, 																					Jungle, 																					Middle","https://na.op.gg/champion/monkeyking/statistics/jungle","Wukong","Counters","https://na.op.gg/champion/monkeyking/statistics/jungle/matchup","Fiddlesticks","2.58 : 1		
																							KDA
																							
			3.16 : 1","13,759		
																							Damage Dealt to Champions
																							
			16,880","48.8%		
																							Kill Participation
																							
			51.2%","40.95%		
																							Win Ratio
																							
			59.05%","49.28%		
																							Position Win Rate
																							
			52.93%","0.79%		
																							Position Pick Rate
																							
			3.49%","0.97%		
																							Ban Rate
																							
			1.51%","null","null"
"1621663263-821","https://na.op.gg/champion/statistics","Volibear
									
																					Top, 																					Jungle","https://na.op.gg/champion/volibear/statistics/jungle","Volibear","Counters","https://na.op.gg/champion/volibear/statistics/jungle/matchup","Elise","2.78 : 1		
																							KDA
																							
			2.74 : 1","11,658		
																							Damage Dealt to Champions
																							
			15,070","48.6%		
																							Kill Participation
																							
			50.7%","49.49%		
																							Win Ratio
																							
			50.51%","50.31%		
																							Position Win Rate
																							
			52.68%","1.47%		
																							Position Pick Rate
																							
			12.31%","4.76%		
																							Ban Rate
																							
			51.40%","null","null"
"1621669445-1452","https://na.op.gg/champion/statistics","Rumble
									
																					Jungle, 																					Top, 																					Middle","https://na.op.gg/champion/rumble/statistics/jungle","Rumble","Counters","https://na.op.gg/champion/rumble/statistics/jungle/matchup","Trundle","2.73 : 1		
																							KDA
																							
			3.03 : 1","18,847		
																							Damage Dealt to Champions
																							
			12,287","51.9%		
																							Kill Participation
																							
			50.2%","47.82%		
																							Win Ratio
																							
			52.18%","48.92%		
																							Position Win Rate
																							
			49.91%","11.75%		
																							Position Pick Rate
																							
			0.85%","28.28%		
																							Ban Rate
																							
			0.07%","null","null"
"1621662329-396","https://na.op.gg/champion/statistics","Vi
									
																					Jungle","https://na.op.gg/champion/vi/statistics/jungle","Vi","Counters","https://na.op.gg/champion/vi/statistics/jungle/matchup","Nidalee","2.43 : 1		
																							KDA
																							
			2.68 : 1","13,490		
																							Damage Dealt to Champions
																							
			15,807","46.3%		
																							Kill Participation
																							
			49.1%","54.11%		
																							Win Ratio
																							
			45.89%","49.44%		
																							Position Win Rate
																							
			48.19%","1.31%		
																							Position Pick Rate
																							
			10.40%","0.08%		
																							Ban Rate
																							
			4.65%","null","null"
"1621662796-607","https://na.op.gg/champion/statistics","Udyr
									
																					Jungle","https://na.op.gg/champion/udyr/statistics/jungle","Udyr","Counters","https://na.op.gg/champion/udyr/statistics/jungle/matchup","Morgana","2.46 : 1		
																							KDA
																							
			3.33 : 1","9,713		
																							Damage Dealt to Champions
																							
			15,643","44.0%		
																							Kill Participation
																							
			51.7%","42.39%		
																							Win Ratio
																							
			57.61%","48.38%		
																							Position Win Rate
																							
			51.35%","2.11%		
																							Position Pick Rate
																							
			7.93%","1.51%		
																							Ban Rate
																							
			48.50%","null","null"
"1621663898-959","https://na.op.gg/champion/statistics","Poppy
									
																					Jungle, 																					Top, 																					Support","https://na.op.gg/champion/poppy/statistics/jungle","Poppy","Counters","https://na.op.gg/champion/poppy/statistics/jungle/matchup","Nunu & Willump","2.81 : 1		
																							KDA
																							
			3.17 : 1","14,259		
																							Damage Dealt to Champions
																							
			11,660","49.7%		
																							Kill Participation
																							
			54.5%","47.65%		
																							Win Ratio
																							
			52.35%","49.65%		
																							Position Win Rate
																							
			50.50%","3.05%		
																							Position Pick Rate
																							
			3.73%","3.81%		
																							Ban Rate
																							
			1.10%","null","null"
"1621663263-853","https://na.op.gg/champion/statistics","Volibear
									
																					Top, 																					Jungle","https://na.op.gg/champion/volibear/statistics/jungle","Volibear","Counters","https://na.op.gg/champion/volibear/statistics/jungle/matchup","Jax","2.95 : 1		
																							KDA
																							
			2.34 : 1","12,256		
																							Damage Dealt to Champions
																							
			14,366","48.4%		
																							Kill Participation
																							
			45.0%","52.16%		
																							Win Ratio
																							
			47.84%","50.31%		
																							Position Win Rate
																							
			48.94%","1.47%		
																							Position Pick Rate
																							
			0.52%","4.76%		
																							Ban Rate
																							
			2.39%","null","null"
"1621661774-129","https://na.op.gg/champion/statistics","Amumu
									
																					Jungle","https://na.op.gg/champion/amumu/statistics/jungle","Amumu","Counters","https://na.op.gg/champion/amumu/statistics/jungle/matchup","Lee Sin","2.48 : 1		
																							KDA
																							
			2.98 : 1","13,039		
																							Damage Dealt to Champions
																							
			15,378","47.8%		
																							Kill Participation
																							
			53.4%","49.16%		
																							Win Ratio
																							
			50.84%","48.48%		
																							Position Win Rate
																							
			51.23%","0.63%		
																							Position Pick Rate
																							
			29.82%","0.17%		
																							Ban Rate
																							
			47.17%","null","null"
"1621668696-1098","https://na.op.gg/champion/statistics","Nunu & Willump
									
																					Jungle, 																					Middle","https://na.op.gg/champion/nunu/statistics/jungle","Nunu & Willump","Counters","https://na.op.gg/champion/nunu/statistics/jungle/matchup","Vi","3.17 : 1		
																							KDA
																							
			2.62 : 1","10,831		
																							Damage Dealt to Champions
																							
			13,832","54.2%		
																							Kill Participation
																							
			48.7%","48.61%		
																							Win Ratio
																							
			51.39%","50.50%		
																							Position Win Rate
																							
			49.44%","3.73%		
																							Position Pick Rate
																							
			1.31%","1.10%		
																							Ban Rate
																							
			0.08%","null","null"
"1621661587-65","https://na.op.gg/champion/statistics","Lillia
									
																					Jungle","https://na.op.gg/champion/lillia/statistics/jungle","Lillia","Counters","https://na.op.gg/champion/lillia/statistics/jungle/matchup","Warwick","2.58 : 1		
																							KDA
																							
			2.67 : 1","17,888		
																							Damage Dealt to Champions
																							
			12,826","49.8%		
																							Kill Participation
																							
			49.4%","44.37%		
																							Win Ratio
																							
			55.63%","45.40%		
																							Position Win Rate
																							
			51.00%","1.52%		
																							Position Pick Rate
																							
			2.23%","0.37%		
																							Ban Rate
																							
			0.30%","null","null"
"1621661587-57","https://na.op.gg/champion/statistics","Lillia
									
																					Jungle","https://na.op.gg/champion/lillia/statistics/jungle","Lillia","Counters","https://na.op.gg/champion/lillia/statistics/jungle/matchup","Nocturne","2.52 : 1		
																							KDA
																							
			2.80 : 1","17,227		
																							Damage Dealt to Champions
																							
			15,501","49.5%		
																							Kill Participation
																							
			49.0%","44.92%		
																							Win Ratio
																							
			55.08%","45.40%		
																							Position Win Rate
																							
			49.80%","1.52%		
																							Position Pick Rate
																							
			3.78%","0.37%		
																							Ban Rate
																							
			2.36%","null","null"
