champion_name,champion_id,post_mentioned_times,comment_mentioned_times,post_positive_score,post_negative_score,comment_positive_score,comment_negative_score
aatrox,266,71,123,0.37884440162907473,0.5589484150816755,0.17275656849251197,0.0
ahri,103,50,119,0.4038942347402158,0.5833144740360539,0.3740682761997722,0.31407039273868903
akali,84,121,208,0.3866821045460908,0.5516560339346165,0.1944141615405942,0.0
alistar,12,114,78,0.0,0.0,0.20641328504986983,0.0
amumu,32,22,80,0.6691760726596997,0.5900489993211699,0.4719129400623982,0.3369184051241193
anivia,34,28,84,0.6872372933056043,0.5706411454735733,0.679469138489174,0.6660528182983397
annie,1,32,112,0.6538991907368535,0.5091988022734479,0.1936720672850053,0.0
aphelios,523,19,60,0.0,0.5081875004419467,0.40851883205845163,0.0
ashe,22,46,126,0.6571780977041825,0.594863062951623,0.37637294897342316,0.0
aurelion sol,136,0,0,0.0,0.0,0.0,0.0
azir,268,99,154,0.39484149424926096,0.5630290799024629,0.4233237020539732,0.35990596746469466
bard,432,25,122,0.6760402679443359,0.7852997405499947,0.39580521945818575,0.0
blitzcrank,53,13,43,0.6115183819895206,0.5429235028057564,0.6491820235134435,0.652185470252842
brand,63,34,105,0.6491238689077071,0.5461474744285025,0.3864179908597427,0.30898981589775576
braum,201,28,63,0.0,0.0,0.4711475747212926,0.0
caitlyn,51,29,51,0.09752886891365051,0.5186550500916272,0.3846501031949747,0.0
camille,164,66,125,0.19116867106893787,0.5342099870123515,0.0,0.0
cassiopeia,69,16,21,0.3816450191580731,0.5662271453113091,0.5828113652792078,0.31981389553515943
cho'gath,31,0,0,0.0,0.0,0.0,0.0
corki,42,20,42,0.6534960860791413,0.5639993853685332,0.5943329627016829,0.0
darius,122,92,234,0.6827573418617249,0.8114384347345771,0.3756133002021708,0.0
diana,131,44,153,0.43383081425791203,0.8268476844560809,0.4155801206090004,0.3159859753274298
dr. mundo,36,0,0,0.0,0.0,0.0,0.0
draven,119,18,58,0.6415958057279172,0.5626952648162842,0.5485484223062495,0.0
ekko,245,41,100,0.41352118512858516,0.6188795624709711,0.46715511450076685,0.315243606443529
elise,60,39,46,0.6620894030384396,0.8253852357951607,0.4615229191291459,0.33688923832658046
evelynn,28,15,41,0.36873620852180145,0.5406560112790364,0.5813658159528942,0.6221502268469179
ezreal,81,54,153,0.49048789480458144,0.5520335494018183,0.17745806176755116,0.0
fiddlesticks,9,0,0,0.0,0.0,0.0,0.0
fiora,114,49,151,0.658672867650571,0.5479933139754505,0.18628961290150567,0.0
fizz,105,28,59,0.7388208387554555,0.8740385879830616,0.3900265929555724,0.31407338303404964
galio,3,49,93,0.38349609685980757,0.5635025443100348,0.3941326760571753,0.3106528071614055
gangplank,41,37,62,0.0,0.5223961428898136,0.18440454334757778,0.0
garen,86,42,236,0.666992031491321,0.8082040253935792,0.0,0.0
gnar,150,129,142,0.0,0.0,0.18818526217457265,0.0
gragas,79,70,47,0.0,0.0,0.6100757623308538,0.6659888547736328
graves,104,0,0,0.0,0.0,0.0,0.0
gwen,887,0,0,0.0,0.0,0.0,0.0
hecarim,120,158,164,0.0,0.5269453002185357,0.3921856661146184,0.0
heimerdinger,74,14,25,0.37057925877363784,0.5424085622880518,0.5514843082680718,0.7041057704331039
illaoi,420,27,113,0.7042743942011956,0.5892359192778425,0.5048589769606034,0.6373368795816
irelia,39,84,366,0.6647469738255376,0.787760285706055,0.0,0.0
ivern,427,28,78,0.6977148418841155,0.8562377389611268,0.6482750027845268,0.6935387927216369
janna,40,28,64,0.7485142630079519,0.8330944569372549,0.6472543657036637,0.0
jarvan iv,59,0,0,0.0,0.0,0.0,0.0
jax,24,57,115,0.6542122820149298,0.534463990025404,0.0,0.0
jayce,126,67,113,0.0,0.5029638220624226,0.001670113195378873,0.0
jhin,202,50,121,0.6839281333529431,0.8320459091081852,0.0,0.0
jinx,222,98,168,0.0,0.5283605470889952,0.44256615133251825,0.0
kai'sa,145,0,0,0.0,0.0,0.0,0.0
kalista,429,29,61,0.0,0.5010108686074978,0.5427195857354693,0.0
karma,43,30,102,0.0,0.51813592271107,0.2037883908504311,0.0
karthus,30,25,65,0.0,0.5140453577041626,0.3838163845951903,0.0
kassadin,38,21,84,0.40312126356622446,0.5877311782139104,0.6270990588639735,0.6664104368779565
katarina,55,54,152,0.7056267976760864,0.848238336603816,0.4205052633588811,0.3060408908051329
kayle,10,43,136,0.7282833083816196,0.852288394802954,0.62438226462253,0.30871765954153874
kayn,141,43,87,0.7114189298256584,0.8252438317711761,0.18062846525819057,0.0
kennen,85,29,64,0.6688178363053695,0.6274543884323864,0.5899110179486627,0.31241588313858226
kha'zix,121,0,0,0.0,0.0,0.0,0.0
kindred,203,48,166,0.6657851639001265,0.8015211369933151,0.0,0.0
kled,240,8,79,0.0,0.0,0.0,0.0
kog'maw,96,0,0,0.0,0.0,0.0,0.0
leblanc,7,22,66,0.49787006689154584,0.5930780201423459,0.19770298829769498,0.0
lee sin,64,0,0,0.0,0.0,0.0,0.0
leona,89,94,208,0.0,0.4930839596725092,0.2638175864522954,0.0
lillia,876,97,94,0.17515576663224594,0.5370266553832264,0.41612723311771355,0.33375515643652376
lissandra,127,11,44,0.6297478144583494,0.5770302545733569,0.6110384521130539,0.6793605096928484
lucian,236,122,140,0.0,0.5233874698964561,0.20670527367204325,0.0
lulu,117,55,189,0.5385229546090831,0.5650070673081933,0.40830424607010696,0.0
lux,99,58,189,0.7204658300980278,0.8539368492074129,0.2568108864892077,0.0
malphite,54,42,117,0.40367667104886923,0.5975934208893194,0.1962237172750197,0.0
malzahar,90,14,57,0.6750665275946908,0.6028474104113695,0.6484086858931364,0.652379373451332
maokai,57,15,49,0.6170432697171749,0.5605795034548131,0.6558100840228186,0.6519646497515887
master yi,11,0,0,0.0,0.0,0.0,0.0
miss fortune,21,0,0,0.0,0.0,0.0,0.0
mordekaiser,82,60,115,0.7091441320336384,0.7482755049699691,0.0,0.0
morgana,25,107,223,0.19246245985445767,0.584769714169386,0.3922478895726558,0.3049262367285691
nami,267,15,46,0.7234115201493968,0.839075507187262,0.36588136720151865,0.0
nasus,75,46,153,0.7053177517393361,0.7624456359118951,0.12320603435536577,0.0
nautilus,111,83,136,0.0,0.0,0.20087549964446483,0.0
neeko,518,32,107,0.5481866629227348,0.5882117079525458,0.0,0.0
nidalee,76,59,78,0.0,0.49408649525991305,0.38654071408531276,0.3084122879164559
nocturne,56,102,66,0.10814952850341797,0.0,0.0,0.0
nunu and willump,20,0,0,0.0,0.0,0.0,0.0
olaf,2,47,40,0.0,0.5273092956077762,0.7109219899447141,0.7349480003505559
orianna,61,143,99,0.0,0.5347101426706082,0.43617809787655887,0.38472811819671027
ornn,516,48,100,0.47637729489285013,0.538518661405982,0.577444489558257,0.0
pantheon,80,41,118,0.6770565048508022,0.8327470748889737,0.0,0.0
poppy,78,11,103,0.6570862775263578,0.5602199129941987,0.5929337872633244,0.317553678116241
pyke,555,32,130,0.7017161493716032,0.8023075323279311,0.3743257055013003,0.0
qiyana,246,37,102,0.49548263083333555,0.5951321561162065,0.39397073381781156,0.31629167129467056
quinn,133,22,41,0.4978185005809949,0.5976151838535215,0.634593377896838,0.6482356585465467
rakan,497,58,51,0.0,0.0,0.19724562901068915,0.0
