,gameId,TeamTwoWin,Team1P1,Team1P2,Team1P3,Team1P4,Team1P5,Team2P1,Team2P2,Team2P3,Team2P4,Team2P5,Team1P1Role,Team1P2Role,Team1P3Role,Team1P4Role,Team1P5Role,Team2P1Role,Team2P2Role,Team2P3Role,Team2P4Role,Team2P5Role,Team1P1SID,Team1P2SID,Team1P3SID,Team1P4SID,Team1P5SID,Team2P1SID,Team2P2SID,Team2P3SID,Team2P4SID,Team2P5SID
0,3927003126,Fail,15,106,104,43,42,111,110,245,164,131,DUO_CARRY,TOP,JUNGLE,DUO_SUPPORT,MIDDLE,DUO_SUPPORT,DUO_CARRY,MIDDLE,TOP,JUNGLE,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,tHcEY_zRz3Kjz_SnR63xTAhq3e_8cjiva-WPj95Sy9goap8,puBsHRaxSyllm0ceqqNOAOUPQFVD-I_k6tBLZDsPYokvORo,3prwv7QLCR1mm8ljz8YoA9ACIbnB3L6MlfEIxmBgQ3ocItlaNUj_PgQuZw,vdCy79oIGe7WshsDTdpn4IpQxA5ZFdeoChrWdKXXtIVAlBk,C3KnDmMI-nID7Yjc1V1qwH2sm1tmoIq0tLGgubaOV1CRHXXG,OjIW8HE5HB8O6Kzf12vt4fAqSLjiFHIbeI3-z0GYEFFEA3Q,7rwpdZDhoaeeUrba49Dh3CRKwVdl3et86JfjEP_W-WT9xQk,bPJo-8pMzIplJnsLnDwQ54wQU5k1EoK-pm5cwcoNdbW7DFzr9KSWDhsPwA,ySgVoywEXhJM_9ggbsavgCmnMBYYKYkS5JHb85upAi9YFBk
1,3926918940,Fail,62,498,131,98,111,78,89,110,875,164,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,tlsKRVVPJu6TQ-tA5B0aTbUN4Cjb_IQPe58Hzgdrz8yB1tw,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,3prwv7QLCR1mm8ljz8YoA9ACIbnB3L6MlfEIxmBgQ3ocItlaNUj_PgQuZw,ySCrz8UfeTQLLhnPblUXQv8QbW-fPLpHSLuHzdZgACatDiZtSv0CKszcHA,cnrZ5IFDZ21HGilq3JOvtJz4e4XPL9icVGFMe4GcF6jM9F8,u3CLaXnJS5bZ6UVThfDJXDDQZjg3ynNu63QJL4FhE4fgYVs,C3KnDmMI-nID7Yjc1V1qwH2sm1tmoIq0tLGgubaOV1CRHXXG,vdCy79oIGe7WshsDTdpn4IpQxA5ZFdeoChrWdKXXtIVAlBk,w6eRA6OPiZd_Yozn711en64C6tbR4lSQtUPEHhivxb-3fSo,bPJo-8pMzIplJnsLnDwQ54wQU5k1EoK-pm5cwcoNdbW7DFzr9KSWDhsPwA
2,3926903291,Fail,1,35,875,360,78,350,887,203,81,38,MIDDLE,JUNGLE,DUO_SUPPORT,DUO_CARRY,TOP,DUO_SUPPORT,MIDDLE,JUNGLE,DUO_CARRY,MIDDLE,kwGGU3u0Dm7KdUY9vMqypSQNuJTAnCQ2DjAbcFgzfl-jwR4,I3cxZRVlifwJLfpP5989UoG7EyiEe5DQ2rbqG0WrZSYFY8c,phYADqWVI2Rm3WH7O3QxLZE9xVW69cTcpC6QA2b7vF58W9j-,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,u3CLaXnJS5bZ6UVThfDJXDDQZjg3ynNu63QJL4FhE4fgYVs,tkTijnrzGhiKeaC5palGIz8gbKTiAqQOnlsoawe3bG2fDRPY,ZJUqpTINkDE6xvmIiqQ5ex8MEuVbH0thw066JqB99AJENlA,D_oa4tTWHTwiy8GSX7Ch7XPwFbz61h34N3NGGwEMJMvW1ng,6FIk2Gg67OkliUmVH-VR36HXiKwR9sm-X4k1oVeNmhO2c7Y,7rwpdZDhoaeeUrba49Dh3CRKwVdl3et86JfjEP_W-WT9xQk
3,3926469286,Fail,141,526,360,27,23,18,3,58,39,113,JUNGLE,DUO_SUPPORT,DUO_CARRY,TOP,MIDDLE,DUO_CARRY,DUO_SUPPORT,JUNGLE,MIDDLE,JUNGLE,7E8W8iC5fzSi7tXVF3Y0-jDmEv-SvX27PtKqfeoC9Tb6s2H9XGPTWPEwWw,K_JHco3iZGVlPlX5EJNApw7KB4TTWSl4gkR_0FU39ijwMVnduQTCTV93lw,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,7HDf0hog6spkr0OE8EpeW2Uo7EVKS3K27oHAg0aEqs7mvgU,LL2KpBPzEZ4LhFJCT0ntXVTBEGFL8yLrs1rNAXs9weMVI346s_2X7fz4UA,tkTijnrzGhiKeaC5palGIz8gbKTiAqQOnlsoawe3bG2fDRPY,mMnh61KArIIw8yEBuJSHryS3KzcPOs5zhykwwSwM5E_HamQ,tHcEY_zRz3Kjz_SnR63xTAhq3e_8cjiva-WPj95Sy9goap8,w101vIJs5f5ttKaqzH8L4Bc095-9lIkQCfzw22oIyzhiPiQ,Bl3Fr6xW6DspqH1laKTN7enlNhnV0_YoS9iXYlF6OQSAuXCDqUI398TR9A
4,3926453602,Fail,62,53,18,69,106,79,141,111,13,81,TOP,DUO_SUPPORT,DUO_CARRY,MIDDLE,JUNGLE,TOP,JUNGLE,JUNGLE,MIDDLE,SOLO,tlsKRVVPJu6TQ-tA5B0aTbUN4Cjb_IQPe58Hzgdrz8yB1tw,9-TCVYEN9j_qYxgHAgyFulHXKMrqQsk3oWp_bIN3WFAcG2tIXBwcn3G-dw,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,U5VpB39K1__KAd1t1_PgwCESlxe3s-VDzK6OhP5Pul1I4YU,foLQTZduSkirpcMS6c8BrQA5DT9enyHa8iVUqJXKz9kwCChD-Ntq8cHT9g,bGQiRA7YtuPH1MKc0j8AsCRJzEiFXiyRqbqTQolmAM3uArygYo_XMow9Fg,7E8W8iC5fzSi7tXVF3Y0-jDmEv-SvX27PtKqfeoC9Tb6s2H9XGPTWPEwWw,_RJncMB0VSlW6ROOpqjbTmM38fcwNTubQ1aTtKa83Qx900oT,WIrE_x5B72N-r2-4pqwa4DZUqc2dWruR5uNobVry3mnuJUgYD4B8qT0crg,Mcq2IL0qrmhl5jSC4RlfZ2dXCuw92Lm8Xd6zlh2rcZefORC6
5,3926407436,Fail,117,201,145,24,141,3,58,5,81,89,MIDDLE,DUO_SUPPORT,DUO_CARRY,JUNGLE,JUNGLE,MIDDLE,TOP,JUNGLE,DUO_CARRY,DUO_SUPPORT,yU3NdftwBjneMyRfG2ZHChBeNdP8W53WGJxAuiyqEjx6Nhs4omW7IMKuBw,0GAykaja6tvxQoR9z2gE0LwJnN2nqj37sLhyLJof6bLSYPk,x_rIpF0TA1IPe6t5ngcy-bXxJdV293BU4hN8eTXicwD88a8,acdcPcid8Dh6bIvHA32q6tcEXFLaf0UvfZxgcRlGDh45zTw,NTtBXcDGNxlPsnzJ1g6SiNIXyMlNGuXap13-NjpawrOgAA8,H93Ir5LpI_mgfZQuOtPxWL9BSb279pBQU-ZT2bwliBqO2LRYDB3YHKx4tA,tHcEY_zRz3Kjz_SnR63xTAhq3e_8cjiva-WPj95Sy9goap8,Ls_eI2cVn_OMU0tXBJNKIlNbZmqzgeefrGnx6seCrXuJq30,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,tkTijnrzGhiKeaC5palGIz8gbKTiAqQOnlsoawe3bG2fDRPY
6,3925066651,Fail,2,84,81,240,26,518,21,12,35,41,JUNGLE,MIDDLE,DUO_CARRY,TOP,DUO_SUPPORT,MIDDLE,DUO_CARRY,DUO_SUPPORT,JUNGLE,JUNGLE,i6b7z6dqVslukNoSTXORU43tdhqUI0SgJbKw_RQ2DbZiHnA,9-TCVYEN9j_qYxgHAgyFulHXKMrqQsk3oWp_bIN3WFAcG2tIXBwcn3G-dw,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,ONHyRB9_pZj5UH1kKahCTKHFs5So2pup8XyXlkzHX3f_yQo,7FrDnT8j9iNnIuKx8tjCmYC8dd1mWFB24MTAy58FFtmhtg4,2tgeLtYbHvCTnqMCKA6LTLu1MXxG5vi4Ye2zxJoSkUmSADP3,ZFGsI5tsvVGThftY2WgHU4UCh-nhryIO9pN8wZOFIRW0eV0V,cfmSQ-fC0QdmvouOB_XtsaLPrJePn0bTWSFz98RqhrvFCQhhGJhXdb8_0A,lgvV0o3ztbNGi-wObVnSZiIbw0YDhZY-WQ3Z-9FYagZ7Z5U-QRSzroKoEw,JkomEiM8NU0c8kS7ZJSllutWLQ4ivAIYfU8s3wfIMnFN2Vk
7,3925017526,Win,517,62,235,41,203,24,4,523,43,104,MIDDLE,DUO_CARRY,DUO_SUPPORT,TOP,JUNGLE,TOP,MIDDLE,DUO_CARRY,DUO_SUPPORT,JUNGLE,v8hl9XxPO6lKUrk_NsH83j89q4yxK2A8zxMoPYrz08VdfRw,7HDf0hog6spkr0OE8EpeW2Uo7EVKS3K27oHAg0aEqs7mvgU,KhoUQa1onl3lbpuIr4jYBt5yV77hTuV_cbgm-3ILjiVkue0,CR8bCxZqEW2rddeMwyWKT9-Z_YVsCb9IdFOUgsRKhRxV9_sw,fE0bF9E85lC4yVRC483mGsKtC4TUm5Vk8E3wAx5XfZQMEEcp,bPJo-8pMzIplJnsLnDwQ54wQU5k1EoK-pm5cwcoNdbW7DFzr9KSWDhsPwA,H93Ir5LpI_mgfZQuOtPxWL9BSb279pBQU-ZT2bwliBqO2LRYDB3YHKx4tA,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,9KicclE-2ZLkb37qqBqfKQ-aPgPskqP70uKZz23I-A7qwvE,7E8W8iC5fzSi7tXVF3Y0-jDmEv-SvX27PtKqfeoC9Tb6s2H9XGPTWPEwWw
8,3923311045,Fail,58,12,110,112,76,236,145,102,518,875,TOP,DUO_SUPPORT,DUO_CARRY,MIDDLE,JUNGLE,TOP,DUO_CARRY,JUNGLE,TOP,DUO_SUPPORT,gXbiby3jTJu2jcn7mYOH-QsZFTVzfZkqyAYdgv4r-y5_pX0,4s7DdZbcZWd_a6QL-HUhMl1Z9NwMGL_6R3fPjxEjhUd-dvU,8RfUD9cxN-dLQLxL32H5lDDf9tlfcqUOFs8iAxZGYcrp-sM,LL2KpBPzEZ4LhFJCT0ntXVTBEGFL8yLrs1rNAXs9weMVI346s_2X7fz4UA,puBsHRaxSyllm0ceqqNOAOUPQFVD-I_k6tBLZDsPYokvORo,sIBdaZ2-Q_9GPs4IuExzHm34992rNlohfSDntTVaNNjGlHA,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,8bMb4a763f-vpQ81jKoZ8pfmcUrK0C6L7_HCeC8yMK_OmjU,ZJUqpTINkDE6xvmIiqQ5ex8MEuVbH0thw066JqB99AJENlA,y3jSt96px_zD9WecLjoaPFrPrwFobPQLT2IZlTmNwudalwE
9,3923283060,Fail,429,43,62,82,25,517,887,39,117,81,DUO_CARRY,DUO_SUPPORT,MIDDLE,TOP,JUNGLE,MIDDLE,JUNGLE,MIDDLE,DUO_SUPPORT,DUO_CARRY,9BAxwVRgup1xemJCVeZoCMFRL5Kosavkm1G8Kqlu2oZk1aU,0GAykaja6tvxQoR9z2gE0LwJnN2nqj37sLhyLJof6bLSYPk,tlsKRVVPJu6TQ-tA5B0aTbUN4Cjb_IQPe58Hzgdrz8yB1tw,gXbiby3jTJu2jcn7mYOH-QsZFTVzfZkqyAYdgv4r-y5_pX0,FkZILvIHuKcS0PLf2A-wJ8-EaPJDlLrcp6ItlDPnydh8sZg,DMCdFmRHbRK-PSupQjO7BJWh94U0pN4EGV0WNeoUxkXugz8,glefbPo-mucB18w4u9H_oVkXSHVYlMk4Qx_pxz1QGSh0QEY,8RfUD9cxN-dLQLxL32H5lDDf9tlfcqUOFs8iAxZGYcrp-sM,xagLXWFLLcLUmfixZ8T1xXrxJK4-HFPdxiRdyFXViySgV7s,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw
