,summonerId,summonerName,leaguePoints,wins,losses,rank,accountId,winrate
0,ppk_I7Z1HLy57h58X6rwYGacsVOyz51hd6_AHBjNkKrW9j5q4ijo9QZLpw,TL Yeon,1025,160,129,Challenger,ij111eCiB7YRMfpbXTtNCqWRRfKwgudj2228q2-1wZ8AFZZw_4NmAPdP,0.5536332179930796
1,wq4Tbh7L6jUg5PhpiyVS485d9QoBUbvNsIPi1hHYHKdOT1ju,APA3,639,154,137,Challenger,bJFSWY0PUbaGnfBkYc2njp24XDgXgQqTH-2lkEf-o-xxw7bAS2yLaymz,0.5292096219931272
2,MGo9-pY-7yQs2dKfvjt7dlWRWzcNBit4O36T43Hm10Ajy2Q,cupcakes29,799,337,308,Challenger,9ztzAQ46FRYfm98jJfcYwmkL6es2LLir2dWkevXd9aQ22-M,0.5224806201550387
3,dQLrFLjQzdm7T-_Nsg1QF0mlwP52rmvEX68L-431sb3nS1M,Busio3,1111,220,178,Challenger,Pfd1GjtYhZGqRfEaEpGy0n3lTlozWeZum_Eh6JQ_JLhNaWA,0.5527638190954773
4,Vbsf8W74eMoaEJtOmd8lwfDkSxNFNu4FRS1wB_wpQ3SZoolTckZUXmhSSA,agorinas,912,136,112,Challenger,XW-GvUqCXll3nmYspdY6PO0AAKZgULFpPLBT-8F3eE7J3J4gp5RAUCE1,0.5483870967741935
5,FJMQ1CnK5_E5H2CI2BwMcnjxdDBiYRVocxX5uyiD-xOTyZ5tepK5w34BFw,PATH TO TOP,1020,134,93,Challenger,T3rS7dl0Un6jUxMexv1dNO4bjv5pdWQZJn4_BaDbEP_Yk_BjB7zNWPs9,0.5903083700440529
6,NG2b4iAewedUr5zveUF-0H5DwsNcyGEmrERYMzUOMNucQfE,Ethereal3,722,303,272,Challenger,DOJ_J0cYEqHrxeMk3ToU0FTUuLQ4_Jk_4AVFWXB6O_onjqo,0.5269565217391304
7,0FrXnZrnU0CJyYKIzKFs35av_bLyCwSlsqEDrFQLrwyLOhv9PaEhytv_bg,unga bunga kindo,824,186,141,Challenger,SxbjpbtF3GivdWmfdGcnKPxjB_faVAjEmq0w4C-W6PAsTgEmsYZV0lvq,0.5688073394495413
8,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,Surround,654,350,316,Challenger,RFXft0PRD1d1MAUQVkdGGblCBJx1X5l7FayZKIiDMj0AtxhS4fk_-mMN,0.5255255255255256
9,aMNUrD-ifVN3reAKBZGhhuiNqKMhfemNY2s6Cldha4-lofwgydVLc5EGig,YETTER JG WINS,1135,187,158,Challenger,mLxybtbGAQxJOfssUUEXCKItGAB-paugke73hyktvz7kVHBi5r1CAFel,0.5420289855072464
