,gameId,TeamTwoWin,Team1P1,Team1P2,Team1P3,Team1P4,Team1P5,Team2P1,Team2P2,Team2P3,Team2P4,Team2P5,Team1P1Role,Team1P2Role,Team1P3Role,Team1P4Role,Team1P5Role,Team2P1Role,Team2P2Role,Team2P3Role,Team2P4Role,Team2P5Role,Team1P1SID,Team1P2SID,Team1P3SID,Team1P4SID,Team1P5SID,Team2P1SID,Team2P2SID,Team2P3SID,Team2P4SID,Team2P5SID,T1P1LP,T1P2LP,T1P3LP,T1P4LP,T1P5LP,T2P1LP,T2P2LP,T2P3LP,T2P4LP,T2P5LP,T1P1WR,T1P2WR,T1P3WR,T1P4WR,T1P5WR,T2P1WR,T2P2WR,T2P3WR,T2P4WR,T2P5WR,T1P1CM,T1P2CM,T1P3CM,T1P4CM,T1P5CM,T2P1CM,T2P2CM,T2P3CM,T2P4CM,T2P5CM,Team1P1PostChampOccurTimes,Team1P1PostPositiveScore,Team1P1PostNegativeScore,Team1P2PostChampOccurTimes,Team1P2PostPositiveScore,Team1P2PostNegativeScore,Team1P3PostChampOccurTimes,Team1P3PostPositiveScore,Team1P3PostNegativeScore,Team1P4PostChampOccurTimes,Team1P4PostPositiveScore,Team1P4PostNegativeScore,Team1P5PostChampOccurTimes,Team1P5PostPositiveScore,Team1P5PostNegativeScore,Team2P1PostChampOccurTimes,Team2P1PostPositiveScore,Team2P1PostNegativeScore,Team2P2PostChampOccurTimes,Team2P2PostPositiveScore,Team2P2PostNegativeScore,Team2P3PostChampOccurTimes,Team2P3PostPositiveScore,Team2P3PostNegativeScore,Team2P4PostChampOccurTimes,Team2P4PostPositiveScore,Team2P4PostNegativeScore,Team2P5PostChampOccurTimes,Team2P5PostPositiveScore,Team2P5PostNegativeScore,Team1P1CommentChampOccurTimes,Team1P1CommentPositiveScore,Team1P1CommentNegativeScore,Team1P2CommentChampOccurTimes,Team1P2CommentPositiveScore,Team1P2CommentNegativeScore,Team1P3CommentChampOccurTimes,Team1P3CommentPositiveScore,Team1P3CommentNegativeScore,Team1P4CommentChampOccurTimes,Team1P4CommentPositiveScore,Team1P4CommentNegativeScore,Team1P5CommentChampOccurTimes,Team1P5CommentPositiveScore,Team1P5CommentNegativeScore,Team2P1CommentChampOccurTimes,Team2P1CommentPositiveScore,Team2P1CommentNegativeScore,Team2P2CommentChampOccurTimes,Team2P2CommentPositiveScore,Team2P2CommentNegativeScore,Team2P3CommentChampOccurTimes,Team2P3CommentPositiveScore,Team2P3CommentNegativeScore,Team2P4CommentChampOccurTimes,Team2P4CommentPositiveScore,Team2P4CommentNegativeScore,Team2P5CommentChampOccurTimes,Team2P5CommentPositiveScore,Team2P5CommentNegativeScore,T1P1ChampWR,T1P2ChampWR,T1P3ChampWR,T1P4ChampWR,T1P5ChampWR,T2P1ChampWR,T2P2ChampWR,T2P3ChampWR,T2P4ChampWR,T2P5ChampWR
236,3908588516,Fail,69,360,150,20,79,67,234,111,145,112,MIDDLE,SOLO,TOP,JUNGLE,JUNGLE,TOP,JUNGLE,DUO_SUPPORT,DUO_CARRY,MIDDLE,OGyxGtRcCzj8Z2zUDTUOtdLURyf72KRijfLT0mXtZ7ipM-iekpOQmcRNQQ,VZ7M0zZwfJZTiLvgfLa06X-CWhAnk-IwbVXmqHeME8P5wqQ,ccLnCSxgjV-i7ouk0mPX2zgES0tSJtUs_PnF_gz7Bx4u2hU,zQQcr3C7hJ0R1LDN8MAey4iem8tabtLi62iIoBBYXik-eHM,KhoUQa1onl3lbpuIr4jYBt5yV77hTuV_cbgm-3ILjiVkue0,ue8qPZTJtc7JEZKzkVWHOvcH8e3LhCd41pXtM_dIW5J8Chk,n6CE9QlGD4Ui9eeSMF2mfN7fDGS83z73KQVp-2hBYFicY_MjxgHuBYrmmA,HhGIfJhjeoQhpAxiv-itmUHEaxyTf0MzNenl3ncVTRBZ5smD,3TDI-wA0pgV9rmUXIcB392z9GaLkE2LbvniuhcPDyMUdyiGrJBhlZ1gc0A,MGo9-pY-7yQs2dKfvjt7dlWRWzcNBit4O36T43Hm10Ajy2Q,722,679,725,673,628,200,651,579,417,799,0.5274725274725275,0.5272206303724928,0.5964285714285714,0.5380434782608695,0.6129032258064516,0.544,0.5697674418604651,0.5222929936305732,0.6756756756756757,0.5224806201550387,170996,56270,26089,654138,14468,1000,2891,26286,31984,777215,16,0.3816450191580731,0.5662271453113091,60,0.4186715690985969,0.6168670770598621,129,0.0,0.0,0,0.0,0.0,70,0.0,0.0,63,0.4143414834271307,0.6169473688776901,111,0.0,0.0,83,0.0,0.0,0,0.0,0.0,93,0.0,0.5364713290842568,21,0.5828113652792078,0.31981389553515943,135,0.0,0.0,142,0.18818526217457265,0.0,0,0.0,0.0,47,0.6100757623308538,0.6659888547736328,151,0.4615617617701474,0.3124888872171377,149,0.0,0.0,136,0.20087549964446488,0.0,0,0.0,0.0,131,0.4267536279590728,0.7133816689639895,0.5078,0.4991,0.5,0.505,0.5147,0.5094,0.5035,0.5034,0.5018,0.5027
4467,3902513313,Fail,69,23,203,3,111,18,412,13,150,104,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,uG1_xMDs7004NkG4YPNLDBeWg-yBwnelMSn6tIkrR6bR-G42pSC04uh8mw,tZREEzkrvEptl5y01rQU0nfAPYRzyB0ekxtlliqW5tevp2Io,oXjoZLbhlxB9LA1CEb5jm5E17xC29P4bNSP-T2UsMJYdJMU-i9IeVezE-g,eva_vT6P_USeufdUkbGO6vgf9uubIt9Kpmy-ZdScU3E3r4Q,5vihZHCB0Y9h5Gv2FZVuYS7vxhQ-AQ4ptqnhYMwOuQprY-RGuQeDBdXVIg,MCYRykEb_zWSy24RMy2Hea0673Vtx9D8XTvJfTnohaIFmMY,aPikoN7VDQ6Ka0FQ6cS2b66NmTfSO5v24YIYnlZQ-T-qspg,TH6H5wHn37iB0eyoxzUfVZCJIF0tugAOdnMLLIbrMOrWX1E,46s72eU6ZOUxLcr0F2LyDowKNN4Z3kCg9xaCKWQT5CVzPJE,BdiylmsYhHHtW-8croKhPSnMdhwl-qDuKjXrOZHGksmpwBnG,713,296,684,668,639,513,468,515,466,636,0.5238095238095238,0.5470085470085471,0.523728813559322,0.5247813411078717,0.567741935483871,0.625,0.5213032581453634,0.5076252723311547,0.528169014084507,0.5568627450980392,6529,3096,32119,176860,5214,36263,657147,30832,1109,69418,16,0.3816450191580731,0.5662271453113091,25,0.7314085296962571,0.7895622202535955,48,0.6657851639001265,0.8015211369933151,49,0.3834960968598076,0.5635025443100348,83,0.0,0.0,152,0.0,0.5238573580253415,181,0.10654889345169066,0.0,98,0.1300003170967102,0.0,129,0.0,0.0,0,0.0,0.0,21,0.5828113652792078,0.31981389553515943,63,0.3654517729375051,0.3106402112292005,166,0.0,0.0,93,0.3941326760571753,0.3106528071614055,136,0.20087549964446488,0.0,144,0.4006421431214565,0.34555457474349377,154,0.18673419362664645,0.0,254,0.4230160986998056,0.3528109456037546,142,0.18818526217457265,0.0,0,0.0,0.0,0.5078,0.5069,0.5016,0.5129,0.5034,0.5027,0.5061,0.4512,0.5,0.4524
1050,3896179967,Win,121,98,517,412,429,245,23,84,267,29,JUNGLE,TOP,MIDDLE,DUO_SUPPORT,DUO_CARRY,JUNGLE,TOP,MIDDLE,DUO_SUPPORT,DUO_CARRY,v0EnlTCXkG8ToalJuVZQlI38a56ZipXVeRSqERRQc9JCbVc,hjZiwXNO93HDpPN2oQ-CDO3qvHnZtL_ZvstKdT5L0ij7JVI,OoOB0eGvScx8QR5LpadYcP-kNAPF9OCG4bm9HRtbeqiMAWkJ,v-2n8_oOm7Njb_7I0gL6p6p6_cqXDGYl6y-Me5SKUPEWUO8,bqPPBnfSoh2IejkbSotipK25Xj_UjCP0OJeohl0o4291,MFs1I3YkYV4rC0lFKvWLvSAKFgRSPIngtg6E8tYQdgJuLAI,yeGJdCy1J4P6yBlAniWpzdZu2JnrUyUGYZcWWPhdbvdqZlY,fIDtfcUGvPI60eYZ8ZH_hGt9yNKBoFzRmstwhCGRwsFPE6s,9XvxyyM3fHPJcxwUMyd9c-RK37WjtbbQCcepDWk0aJCFDNg,R-SIpKjkZ4Qspox_aqXO9_lh8sg_WL-L7jOJdi_7HGq_Eit-,200,621,200,200,200,502,386,200,200,200,0.544,0.5127659574468085,0.544,0.544,0.544,0.5155038759689923,0.5551601423487544,0.544,0.544,0.544,1000,41475,1000,1000,1000,44936,270949,1000,1000,1000,0,0.0,0.0,30,0.6902228508306586,0.8639860683824957,121,0.36452531762745066,0.5463199644553952,181,0.10654889345169066,0.0,29,0.0,0.5010108686074978,41,0.4135211851285852,0.6188795624709711,25,0.7314085296962571,0.7895622202535955,121,0.3866821045460908,0.5516560339346165,15,0.7234115201493968,0.839075507187262,70,0.011644140533778978,0.0,0,0.0,0.0,194,0.4525611878705109,0.6388905203187619,223,0.3719835513050901,0.0,154,0.18673419362664645,0.0,61,0.5427195857354693,0.0,100,0.4671551145007669,0.315243606443529,63,0.3654517729375051,0.3106402112292005,208,0.1944141615405942,0.0,46,0.36588136720151865,0.0,200,0.0,0.0,0.5083,0.5191,0.5016,0.5061,0.5042,0.513,0.5069,0.4776,0.4874,0.5086
1434,3909320653,Win,38,107,555,360,887,37,147,104,246,875,MIDDLE,JUNGLE,SOLO,JUNGLE,TOP,DUO_SUPPORT,DUO_CARRY,JUNGLE,MIDDLE,TOP,JOEon9mWLLdA4bhh8eF7XGjxzM9mSEk7V2f9l9OdIqm8PuQvfZ5lODW0WQ,DxP1EbpicD2B3Z_oljcOoWkZY_8RUI-Uxq110iXgmEOBgyJd,kKjYnoBH100l9C_wXtJXwokf5tdATpeDGEaGCkmOph1ZvNg,qCd4gyWf1m0SlEz0n3hq2RpDcPm9HOewS9-lVg5hZdQFihw,ZBMNHHhXt6h04ReQJnLXUz4hLdflm8I8z33uhgjEouHsTcQ,7WHLxikw8SC-18doz5Rppc9_Ko9QYIKz49Zz8WBsDLNkAw9J,kj6E-QxByVimN9VDRJKkrMrbjvldoOBjMpaPP_er6QLy6ys,tCyhWYBengA8zt3VXoCw1rIAYU5cxvXpH0ZsRmQXAi5cxjN4,RyQ2vQzxQSP-4o6DK8aBFEZiC1tdSf34IDxOnVITXozVPCpJC2S1SbwWqQ,tgbsjW6ohuoUZnvx1b5kK16OOMJ5GgwfxyNMpkyUWZ75b4M,200,454,627,344,357,343,552,397,467,602,0.544,0.5445134575569358,0.5382932166301969,0.5194660734149055,0.5153664302600472,0.5139896373056995,0.5491071428571429,0.53125,0.5432525951557093,0.5766423357664233,1000,401381,84791,135284,16847,137112,43190,144666,4326,159325,21,0.4031212635662245,0.5877311782139104,27,0.7815443025119062,0.8916142008653501,32,0.7017161493716032,0.8023075323279311,60,0.4186715690985969,0.6168670770598621,0,0.0,0.0,35,0.7035889045051906,0.7672397646962144,112,0.0,0.494799265047399,0,0.0,0.0,37,0.4954826308333356,0.5951321561162065,76,0.17620555836221444,0.55410425837447,84,0.6270990588639735,0.6664104368779565,89,0.08396622191048342,0.0,130,0.3743257055013003,0.0,135,0.0,0.0,0,0.0,0.0,138,0.3870167437374801,0.0,167,0.43341451104032697,0.3067892302166331,0,0.0,0.0,102,0.3939707338178116,0.31629167129467056,177,0.0,0.0,0.5068,0.501,0.5346,0.4991,0.5003,0.4996,0.4769,0.4524,0.5096,0.5113
1153,3899090825,Win,266,110,412,518,107,22,43,68,114,234,TOP,SOLO,MIDDLE,MIDDLE,JUNGLE,SOLO,TOP,JUNGLE,TOP,MIDDLE,SGsxmNCQm6DG7RpnCFpEN1BqPzt5xsBg54Woy35kS-Z51RZb,14s7FTnZhRi8VaoeN6pzNi63j0Rzg9RdFaL2xgUht4nJDn8,zd1cd5qt-k69deIIQSdtuknNHI9TUWX6UbAxcrsejeOqQu4,owrBF7SgA4OG9ozeNooI-5yMarTDI9W2teTlELPs_rEsfBE,OT6jybdGut94NH3I8IAL6RvBbom8XmPJpvMjcnG6Y1vtEAk,wFAgzRgKumTHOMsWPyKEMxDDjSmQ2zuDDzcOBqQCeqMv8j4,eWpG5qYu16YWK9_IzYOBQM_hGeI-qfV-SDdyp8icTka6Hu0,L7AAF6QU8iqguq1hAj91pUQYv5dXCKPLgw8O8grhnDcWkllaQRAjlykQEA,G645P9kUZficDgI4BSTM20hXhLTW8KYEX5mj4xORYqWT9F2k,wY1_9Id7fZUbSFFzQOc8UH01Qr33bWnMA3p4SPUmob2pbO8,200,200,353,626,299,200,655,363,464,200,0.544,0.544,0.5165289256198347,0.5334538878842676,0.5287162162162162,0.544,0.5112359550561798,0.5152603231597845,0.5052770448548812,0.544,1000,1000,833779,183121,83846,1000,244183,13494,855720,1000,71,0.3788444016290747,0.5589484150816755,87,0.0,0.50210887339057,181,0.10654889345169066,0.0,32,0.5481866629227348,0.5882117079525458,27,0.7815443025119062,0.8916142008653501,46,0.6571780977041825,0.594863062951623,30,0.0,0.51813592271107,239,0.0,0.5063063342396806,49,0.658672867650571,0.5479933139754505,111,0.0,0.0,123,0.17275656849251195,0.0,108,0.0,0.0,154,0.18673419362664645,0.0,107,0.0,0.0,89,0.08396622191048342,0.0,126,0.3763729489734232,0.0,102,0.2037883908504311,0.0,464,0.0,0.0,151,0.18628961290150567,0.0,149,0.0,0.0,0.5033,0.4991,0.5061,0.5324,0.501,0.5115,0.4778,0.5117,0.508,0.5035
1424,3911513411,Fail,55,77,246,235,236,13,145,875,234,111,MIDDLE,JUNGLE,TOP,JUNGLE,SOLO,TOP,DUO_CARRY,TOP,JUNGLE,DUO_SUPPORT,JwdsZpD1PFaeEAozP_NGp-QjbZVMsYTGO4SBi4ncux_Rcoo,pdwdwBmEpwXWKF1uPUtRVsjDhD3VOron3YviaWOh5Sv6SoE,kCDaqIXzp_9aKu-UCkhGs_rrgO0WA3tnmWyXnib8V0iWQeo,kKjYnoBH100l9C_wXtJXwokf5tdATpeDGEaGCkmOph1ZvNg,MN-DnA9deC7zqgide-V6LfUppUMdf_UwHFJeAFPNlA464r8,phYADqWVI2Rm3WH7O3QxLZE9xVW69cTcpC6QA2b7vF58W9j-,46s72eU6ZOUxLcr0F2LyDowKNN4Z3kCg9xaCKWQT5CVzPJE,3p_JofLwfwRnlhPhvhOcglHGQIWSi-hZQxgl5sGVj7Yd1UQ,ClBMbF4I3BzSzKwAJMtyfSJRBxhD14CdZiHXktmltcNDQvg,cV0OG_qwWQrl2qI6DmdItg3khBVOzXHy3gOP9qh7C_A5SMD1,599,510,522,627,615,200,466,667,200,720,0.5142857142857142,0.5739644970414202,0.59375,0.5382932166301969,0.5128865979381443,0.544,0.528169014084507,0.5165562913907285,0.544,0.5402843601895735,941943,26708,121737,62913,339181,1000,66966,136257,1000,62275,54,0.7056267976760864,0.8482383366038159,195,0.0,0.5311363499339034,37,0.4954826308333356,0.5951321561162065,163,0.18947281526482626,0.5305904004631973,122,0.0,0.5233874698964561,98,0.1300003170967102,0.0,0,0.0,0.0,76,0.17620555836221444,0.55410425837447,111,0.0,0.0,83,0.0,0.0,152,0.4205052633588811,0.3060408908051329,269,0.0,0.0,102,0.3939707338178116,0.31629167129467056,340,0.5108058018734937,0.0,140,0.20670527367204325,0.0,254,0.4230160986998056,0.3528109456037546,0,0.0,0.0,177,0.0,0.0,149,0.0,0.0,136,0.20087549964446488,0.0,0.5115,0.4838,0.5096,0.5275,0.4691,0.4512,0.5018,0.5113,0.5035,0.5034
3972,3891026916,Fail,4,126,43,104,222,25,62,18,3,875,MIDDLE,TOP,DUO_SUPPORT,JUNGLE,DUO_CARRY,JUNGLE,TOP,DUO_CARRY,DUO_SUPPORT,TOP,0ERhpbIa9BoEy8vflUboxxWm0-FCe-6Cikf2XwhsCBmayMs,dcqfptwAxb6jDZgTz0CMdvNf704ryyrCoFgpNz1wgd2MSTU,xagLXWFLLcLUmfixZ8T1xXrxJK4-HFPdxiRdyFXViySgV7s,F9FiSui9MpS0jXS66APvHad-2zF7MQuf8U3F6PGEK7V8gi3k,Cvl7RB-YBB-p7Kh-keMaYjtISvw0etwGgSMS5k4rfKdqdh6j,clOd2ceaZch2RGhnosF0ehrhKE65PwiRB3c3pkfN0RrVf1E,tlsKRVVPJu6TQ-tA5B0aTbUN4Cjb_IQPe58Hzgdrz8yB1tw,jlbmepHtxla3Kom7XfWkTossOqzvJVMG3UB5Hod6TjRYY9A,qml0Oe0wNgS8bTT20FIH_V7sQHlMdcFawPNsqomTYJoQuMU,xkvhucojMbpNKoDrbeHnPbarQm8vEWMa457hCpXGfANEIVk,429,1215,422,823,1036,373,1030,971,634,662,0.4988095238095238,0.5241691842900302,0.5665399239543726,0.5384615384615384,0.5320121951219512,0.4981751824817518,0.5434782608695652,0.5608974358974359,0.5504201680672269,0.5386904761904762,164831,764863,146250,17437,36548,10683,1723790,31372,2994,8266,0,0.0,0.0,67,0.0,0.5029638220624226,30,0.0,0.51813592271107,0,0.0,0.0,98,0.0,0.5283605470889952,107,0.19246245985445767,0.584769714169386,28,0.0,0.509536368090932,152,0.0,0.5238573580253415,49,0.3834960968598076,0.5635025443100348,76,0.17620555836221444,0.55410425837447,0,0.0,0.0,113,0.001670113195378873,0.0,102,0.2037883908504311,0.0,0,0.0,0.0,168,0.4425661513325183,0.0,223,0.3922478895726558,0.3049262367285691,52,0.3812719869950635,0.0,144,0.4006421431214565,0.34555457474349377,93,0.3941326760571753,0.3106528071614055,177,0.0,0.0,0.4916,0.5113,0.4778,0.4524,0.5083,0.5135,0.5194,0.5027,0.5129,0.5113
2290,3870388175,Fail,98,154,43,147,157,18,23,518,53,238,TOP,JUNGLE,DUO_SUPPORT,DUO_CARRY,MIDDLE,DUO_CARRY,TOP,MIDDLE,DUO_SUPPORT,JUNGLE,3pOyUO58FulTokvbCvSmj1Zp2Tv4F_-s6C2zUMEXfOw0950,hl14adzKyEAanJdiXERr4JMSO2B5l8m4Io32atqwptvqXQA,s5OjANK8OOv0W4hU3e84AKWxL43WZTNzEyACI109H9ciSzT9,Cvl7RB-YBB-p7Kh-keMaYjtISvw0etwGgSMS5k4rfKdqdh6j,1riWk4gJHb3m_-7CFTLWSObh9uSBCWp4jL3jeRXiJnwA1cA,tkTijnrzGhiKeaC5palGIz8gbKTiAqQOnlsoawe3bG2fDRPY,zDxphjvatFyrYfY8oQWTDQK3n8q9t2LFXb_1VQdS_X-t-6I,wq4Tbh7L6jUg5PhpiyVS485d9QoBUbvNsIPi1hHYHKdOT1ju,v369_Icd0reaDXdAtg7C7LmhDVOo-Gfr3x0GFGjOnNxpMXll,5sUymuasOoO6ZpPeHiJFjObIyRLgt2RjkiIG1kDwNxbrw50,360,200,567,1036,200,1047,200,639,200,328,0.5120481927710844,0.544,0.5836431226765799,0.5320121951219512,0.544,0.5167731629392971,0.544,0.5292096219931272,0.544,0.4989648033126294,37487,1000,117234,15306,1000,148689,1000,22153,1000,2522128,30,0.6902228508306586,0.8639860683824957,16,0.7238717331402542,0.8103818835281743,30,0.0,0.51813592271107,112,0.0,0.494799265047399,114,0.4321595585864523,0.8019854887956526,152,0.0,0.5238573580253415,25,0.7314085296962571,0.7895622202535955,32,0.5481866629227348,0.5882117079525458,13,0.6115183819895206,0.5429235028057564,88,0.7010335792665896,0.8468294496216426,194,0.4525611878705109,0.6388905203187619,66,0.6049687896094981,0.0,102,0.2037883908504311,0.0,167,0.43341451104032697,0.3067892302166331,346,0.0,0.0,144,0.4006421431214565,0.34555457474349377,63,0.3654517729375051,0.3106402112292005,107,0.0,0.0,43,0.6491820235134435,0.652185470252842,209,0.0,0.0,0.5191,0.5129,0.4778,0.4769,0.4945,0.5027,0.5069,0.5324,0.5082,0.5001
1243,3855503902,Win,81,106,60,412,84,111,119,38,114,64,SOLO,TOP,JUNGLE,MIDDLE,MIDDLE,DUO_SUPPORT,DUO_CARRY,MIDDLE,TOP,JUNGLE,_-GhsjMIbRzDeLE8INZv0lHwfnFDWfIoMex4JCR7ULIqTeQ,CR8bCxZqEW2rddeMwyWKT9-Z_YVsCb9IdFOUgsRKhRxV9_sw,lML7NGOmT0OKj0iFh6OPq7l8gNKCxYO2OWS18OcxMmuouuU,2BtSg_x9bKPCdOZjvnV2oyfWFWJeZsZQuAWNCSPJ5AsJFaM,Lgeig-EklWZGWOObsTU0pglABwXvK1lw7WAf36RWh4driFI,6FIk2Gg67OkliUmVH-VR36HXiKwR9sm-X4k1oVeNmhO2c7Y,dL-DnRnrGdzhVNTVSCx5Gkmcb-131R3vS1B5yPu8ToH2ino,JwdsZpD1PFaeEAozP_NGp-QjbZVMsYTGO4SBi4ncux_Rcoo,_mRzKJBlnFmfDvDNfMjdNqnKKsqp6BubuNZzSt1qVTNJ7GA,ldQn-TxpmwDXvdWP-Fng8m0FR8LMZ2bUAZF6oKd5rs4-7eA,200,1061,200,200,200,505,717,599,200,428,0.544,0.5543175487465181,0.544,0.544,0.544,0.5023668639053255,0.5682539682539682,0.5142857142857142,0.544,0.513317191283293,1000,8920,1000,1000,1000,29048,433394,128580,1000,1403595,54,0.4904878948045814,0.5520335494018183,72,0.17866519482239435,0.53661708424731,39,0.6620894030384396,0.8253852357951607,181,0.10654889345169066,0.0,121,0.3866821045460908,0.5516560339346165,83,0.0,0.0,18,0.6415958057279172,0.5626952648162842,21,0.4031212635662245,0.5877311782139104,49,0.658672867650571,0.5479933139754505,0,0.0,0.0,153,0.17745806176755116,0.0,95,0.3623008736452029,0.3138811835994968,46,0.4615229191291459,0.3368892383265805,154,0.18673419362664645,0.0,208,0.1944141615405942,0.0,136,0.20087549964446488,0.0,58,0.5485484223062495,0.0,84,0.6270990588639735,0.6664104368779565,151,0.18628961290150567,0.0,0,0.0,0.0,0.4785,0.5094,0.5268,0.5061,0.4776,0.5034,0.4987,0.5068,0.508,0.5123
1164,3896907742,Fail,777,131,117,518,157,202,55,25,89,84,TOP,JUNGLE,DUO_SUPPORT,MIDDLE,DUO_CARRY,DUO_CARRY,TOP,JUNGLE,DUO_SUPPORT,MIDDLE,kbyqAvcMKH7V8_LL1sE-E122JbSYS3E-HN-3LQzJanAL_C0w,pk5nnVLRoWLHjW4mIQPVEztKvY1uzIxz-Mh8F-N9WK4jcpg,8Au_c20pOzwGto93CViJXp7OACBIKb64E2fShJO-0E7GPdlD,owrBF7SgA4OG9ozeNooI-5yMarTDI9W2teTlELPs_rEsfBE,x8VN0D_bT_nAkDkQeGXXzaX0MBswlNtNrto1E8Ay2E2HyoM,SewnDwHH_XhwTCTyAcXax78I2U2gWumEtMfuQCvWt1dabj4,hxxxVGITnqFhkotSQXNRItJ5Z3glCEloD2kWJLurJiXnhw4,VBztLCCYcYwdjaW-Z0oN4udC0Q6PTPaJqiYbz_n4wvs5U2jr,HqzysGweRMhh0iHcmezG8vI1_56l7Rk9_QXkvQu8jD5JIAk,yW3lnj48RaBCIP7F3aMhzHGjk8ceYc9VokikTqYtrvj1D1MSfZrID2CgaA,547,200,200,626,200,313,200,200,200,200,0.6306306306306306,0.544,0.544,0.5334538878842676,0.544,0.5023474178403756,0.544,0.544,0.544,0.544,119942,1000,1000,183121,1000,127520,1000,1000,1000,1000,110,0.4329072988551596,0.8151753261321929,44,0.43383081425791203,0.8268476844560809,55,0.5385229546090831,0.5650070673081933,32,0.5481866629227348,0.5882117079525458,114,0.4321595585864523,0.8019854887956526,50,0.6839281333529431,0.8320459091081852,54,0.7056267976760864,0.8482383366038159,107,0.19246245985445767,0.584769714169386,94,0.0,0.4930839596725092,121,0.3866821045460908,0.5516560339346165,279,0.0,0.0,153,0.4155801206090004,0.3159859753274298,189,0.40830424607010696,0.0,107,0.0,0.0,346,0.0,0.0,121,0.0,0.0,152,0.4205052633588811,0.3060408908051329,223,0.3922478895726558,0.3049262367285691,208,0.2638175864522954,0.0,208,0.1944141615405942,0.0,0.4847,0.4857,0.5068,0.5324,0.4945,0.511,0.5115,0.5135,0.5252,0.4776
